1	Genotyping	Genotyping	B-NP	NN	O	0	ROOT
2	by	by	B-PP	IN	O	1	NMOD
3	restriction	restriction	B-NP	NN	B-protein	5	NMOD
4	endonuclease	endonuclease	I-NP	NN	I-protein	5	NMOD
5	analysis	analysis	I-NP	NN	O	2	PMOD
6	compared	compare	B-VP	VBN	O	1	NMOD
7	to	to	B-PP	TO	O	6	VMOD
8	phenotyping	phenotyping	B-NP	NN	O	7	PMOD
9	by	by	B-PP	IN	O	8	NMOD
10	antibiogram	antibiogram	B-NP	NN	O	9	PMOD
11	for	for	B-PP	IN	O	6	VMOD
12	typing	type	B-VP	VBG	O	11	PMOD
13	methicillin-resistant	methicillin-resistant	B-NP	JJ	O	16	NMOD
14	Staphylococcus	Staphylococcus	I-NP	FW	O	16	NMOD
15	aureus	aureus	I-NP	FW	O	16	NMOD
16	strains	strain	I-NP	NNS	O	12	OBJ
17	colonizing	colonize	B-VP	VBG	O	16	NMOD
18	patients	patient	B-NP	NNS	O	17	OBJ
19	in	in	B-PP	IN	O	18	NMOD
20	a	a	B-NP	DT	O	22	NMOD
21	nursing	nursing	I-NP	NN	O	22	NMOD
22	home	home	I-NP	NN	O	19	PMOD
23	.	.	O	.	O	1	P

1	To	To	B-VP	TO	O	2	VMOD
2	assist	assist	I-VP	VB	O	24	VMOD
3	in	in	B-PP	IN	O	2	VMOD
4	defining	define	B-VP	VBG	O	3	PMOD
5	patterns	pattern	B-NP	NNS	O	4	OBJ
6	of	of	B-PP	IN	O	5	NMOD
7	methicillin-resistant	methicillin-resistant	B-NP	JJ	O	9	NMOD
8	Staphylococcus	Staphylococcus	I-NP	FW	O	9	NMOD
9	aureus	aureus	I-NP	FW	O	13	NMOD
10	(	(	O	(	O	12	DEP
11	MRSA	MRSA	B-NP	NN	O	12	DEP
12	)	)	O	)	O	9	AMOD
13	colonization	colonization	B-NP	NN	O	6	PMOD
14	in	in	B-PP	IN	O	13	NMOD
15	a	a	B-NP	DT	O	18	NMOD
16	skilled	skilled	I-NP	JJ	O	18	NMOD
17	nursing	nursing	I-NP	NN	O	18	NMOD
18	facility	facility	I-NP	NN	O	14	PMOD
19	(	(	O	(	O	21	DEP
20	SNF	SNF	B-NP	NN	B-protein	21	DEP
21	)	)	O	)	O	18	NMOD
22	,	,	O	,	O	24	P
23	we	we	B-NP	PRP	O	24	SUB
24	compared	compare	B-VP	VBD	O	0	ROOT
25	genotyping	genotyping	B-NP	NN	O	24	OBJ
26	by	by	B-PP	IN	O	24	VMOD
27	field-inversion	field-inversion	B-NP	NN	B-protein	36	NMOD
28	gel	gel	I-NP	NN	I-protein	36	NMOD
29	electrophoresis	electrophoresis	I-NP	NN	I-protein	36	NMOD
30	(	(	O	(	I-protein	36	NMOD
31	FIGE	FIGE	B-NP	NN	I-protein	36	NMOD
32	)	)	O	)	I-protein	36	NMOD
33	restriction	restriction	B-NP	NN	I-protein	36	NMOD
34	endonuclease	endonuclease	I-NP	NN	I-protein	36	NMOD
35	digestion	digestion	I-NP	NN	O	36	NMOD
36	analysis	analysis	I-NP	NN	O	26	PMOD
37	(	(	O	(	O	39	DEP
38	REA	REA	B-NP	NN	O	39	DEP
39	)	)	O	)	O	36	NMOD
40	with	with	B-PP	IN	O	24	VMOD
41	phenotyping	phenotyping	B-NP	NN	O	40	PMOD
42	by	by	B-PP	IN	O	24	VMOD
43	antibiogram	antibiogram	B-NP	NN	O	42	PMOD
44	for	for	B-PP	IN	O	24	VMOD
45	defining	define	B-VP	VBG	O	44	PMOD
46	strain	strain	B-NP	NN	O	47	NMOD
47	relatedness	relatedness	I-NP	NN	O	45	OBJ
48	among	among	B-PP	IN	O	47	NMOD
49	MRSA	MRSA	B-NP	NN	O	50	NMOD
50	isolates	isolate	I-NP	NNS	O	48	PMOD
51	from	from	B-PP	IN	O	50	NMOD
52	SNF	SNF	B-NP	NN	O	53	NMOD
53	patients	patient	I-NP	NNS	O	51	PMOD
54	.	.	O	.	O	24	P

1	Prospective	Prospective	B-NP	JJ	O	4	NMOD
2	screening	screening	I-NP	NN	O	4	NMOD
3	culture	culture	I-NP	NN	O	4	NMOD
4	surveillance	surveillance	I-NP	NN	O	0	ROOT
5	for	for	B-PP	IN	O	4	NMOD
6	MRSA	MRSA	B-NP	NN	O	5	PMOD
7	among	among	B-PP	IN	O	4	NMOD
8	patients	patient	B-NP	NNS	O	7	PMOD
9	in	in	B-PP	IN	O	8	NMOD
10	a	a	B-NP	DT	O	12	NMOD
11	community	community	I-NP	NN	O	12	NMOD
12	SNF	SNF	I-NP	NN	O	9	PMOD
13	.	.	O	.	O	4	P

1	Nares	Nare	B-NP	NNS	O	5	NMOD
2	and	and	O	CC	O	5	NMOD
3	stool	stool	B-NP	NN	O	5	NMOD
4	swab	swab	I-NP	NN	O	5	NMOD
5	cultures	culture	I-NP	NNS	O	6	SUB
6	were	be	B-VP	VBD	O	0	ROOT
7	obtained	obtain	I-VP	VBN	O	6	VC
8	from	from	B-PP	IN	O	7	VMOD
9	newly	newly	B-NP	RB	O	10	AMOD
10	admitted	admit	I-NP	VBN	O	11	NMOD
11	patients	patient	I-NP	NNS	O	8	PMOD
12	and	and	B-PP	CC	O	8	PMOD
13	from	from	B-PP	IN	O	8	PMOD
14	all	all	B-NP	DT	O	15	NMOD
15	patients	patient	I-NP	NNS	O	13	PMOD
16	quarterly	quarterly	B-ADVP	RB	O	7	VMOD
17	.	.	O	.	O	6	P

1	MRSA	MRSA	B-NP	NN	O	2	SUB
2	were	be	B-VP	VBD	O	0	ROOT
3	isolated	isolate	I-VP	VBN	O	2	VC
4	by	by	B-PP	IN	O	3	VMOD
5	oxacillin	oxacillin	B-NP	NN	O	7	NMOD
6	screening	screening	I-NP	NN	O	7	NMOD
7	agar	agar	I-NP	NN	O	4	PMOD
8	.	.	O	.	O	2	P

1	Antibiograms	Antibiogram	B-NP	NNS	O	2	SUB
2	were	be	B-VP	VBD	O	11	VMOD
3	determined	determine	I-VP	VBN	O	2	VC
4	by	by	B-PP	IN	O	3	VMOD
5	the	the	B-NP	DT	O	7	NMOD
6	disk-diffusion	disk-diffusion	I-NP	NN	O	7	NMOD
7	method	method	I-NP	NN	O	4	PMOD
8	,	,	O	,	O	11	P
9	and	and	O	CC	O	10	NMOD
10	genotyping	genotyping	B-NP	NN	O	11	SUB
11	was	be	B-VP	VBD	O	0	ROOT
12	by	by	B-PP	IN	O	11	PRD
13	FIGE	FIGE	B-NP	NN	O	14	NMOD
14	REA	REA	I-NP	NN	O	12	PMOD
15	.	.	O	.	O	11	P

1	It	It	B-NP	PRP	O	2	SUB
2	was	be	B-VP	VBD	O	44	VMOD
3	shown	show	I-VP	VBN	O	2	VC
4	that	that	B-SBAR	IN	O	3	VMOD
5	,	,	O	,	O	4	P
6	among	among	B-PP	IN	O	14	VMOD
7	isolates	isolate	B-NP	NNS	O	6	PMOD
8	with	with	B-PP	IN	O	7	NMOD
9	the	the	B-NP	DT	O	11	NMOD
10	same	same	I-NP	JJ	O	11	NMOD
11	genotypes	genotype	I-NP	NNS	O	8	PMOD
12	,	,	O	,	O	14	P
13	many	many	B-NP	JJ	O	14	SUB
14	had	have	B-VP	VBD	O	26	VMOD
15	different	different	B-NP	JJ	O	16	NMOD
16	antibiograms	antibiogram	I-NP	NNS	O	14	OBJ
17	;	;	O	:	O	26	P
18	among	among	B-PP	IN	O	26	VMOD
19	isolates	isolate	B-NP	NNS	O	18	PMOD
20	with	with	B-PP	IN	O	19	NMOD
21	the	the	B-NP	DT	O	23	NMOD
22	same	same	I-NP	JJ	O	23	NMOD
23	antibiograms	antibiogram	I-NP	NNS	O	20	PMOD
24	,	,	O	,	O	26	P
25	many	many	B-NP	JJ	O	26	SUB
26	had	have	B-VP	VBD	O	4	SBAR
27	different	different	B-NP	JJ	O	28	NMOD
28	genotypes	genotype	I-NP	NNS	O	26	OBJ
29	;	;	O	:	O	44	P
30	and	and	O	CC	O	33	NMOD
31	the	the	B-NP	DT	O	33	NMOD
32	discriminatory	discriminatory	I-NP	JJ	O	33	NMOD
33	indices	index	I-NP	NNS	O	44	SUB
34	for	for	B-PP	IN	O	33	NMOD
35	isolates	isolate	B-NP	NNS	O	34	PMOD
36	of	of	B-PP	IN	O	35	NMOD
37	MRSA	MRSA	B-NP	NN	B-protein	36	PMOD
38	by	by	B-PP	IN	O	33	NMOD
39	FIGE	FIGE	B-NP	NN	O	40	NMOD
40	REA	REA	I-NP	NN	O	38	PMOD
41	and	and	B-PP	CC	O	38	PMOD
42	by	by	B-PP	IN	O	38	PMOD
43	antibiogram	antibiogram	B-NP	NN	O	42	PMOD
44	were	be	B-VP	VBD	O	0	ROOT
45	0.56	0.56	B-NP	CD	O	47	NMOD
46	and	and	I-NP	CC	O	47	NMOD
47	0.78	0.78	I-NP	CD	O	44	PRD
48	,	,	O	,	O	47	P
49	respectively	respectively	B-ADVP	RB	O	47	NMOD
50	.	.	O	.	O	44	P

