1	Effects	Effect	B-NP	NNS	O	0	ROOT
2	of	of	B-PP	IN	O	1	NMOD
3	2	2	B-NP	CD	O	6	NMOD
4	,	,	I-NP	,	O	6	P
5	2	2	I-NP	CD	O	6	NMOD
6	'	'	I-NP	SYM	O	12	NMOD
7	,	,	O	,	O	12	P
8	5	5	B-NP	CD	O	12	NMOD
9	,	,	O	,	O	12	P
10	5'-tetrachlorobiphenyl	5'-tetrachlorobiphenyl	B-NP	NN	O	12	NMOD
11	and	and	I-NP	CC	O	12	NMOD
12	biphenyl	biphenyl	I-NP	NN	O	2	PMOD
13	on	on	B-PP	IN	O	1	NMOD
14	cell	cell	B-NP	NN	O	15	NMOD
15	membranes	membrane	I-NP	NNS	O	13	PMOD
16	of	of	B-PP	IN	O	15	NMOD
17	Ralstonia	Ralstonia	B-NP	NNP	O	19	NMOD
18	eutropha	eutropha	I-NP	NN	O	19	NMOD
19	H850	H850	I-NP	NN	O	16	PMOD
20	.	.	O	.	O	1	P

1	The	The	B-NP	DT	O	2	NMOD
2	effects	effect	I-NP	NNS	O	30	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	2	2	B-NP	CD	O	7	NMOD
5	,	,	I-NP	,	O	7	P
6	2	2	I-NP	CD	O	7	NMOD
7	'	'	I-NP	SYM	O	21	NMOD
8	,	,	O	,	O	21	P
9	5	5	B-NP	CD	O	21	NMOD
10	,	,	O	,	O	21	P
11	5'-tetrachlorobiphenyl	5'-tetrachlorobiphenyl	B-NP	NN	O	21	NMOD
12	(	(	O	(	O	14	DEP
13	TeCB	TeCB	B-NP	NN	B-protein	14	DEP
14	)	)	O	)	O	11	NMOD
15	,	,	O	,	O	21	P
16	a	a	B-NP	DT	O	18	NMOD
17	PCB	PCB	I-NP	NN	O	18	NMOD
18	congener	congener	I-NP	NN	O	21	NMOD
19	,	,	O	,	O	21	P
20	and	and	O	CC	O	21	NMOD
21	biphenyl	biphenyl	B-NP	NN	O	3	PMOD
22	on	on	B-PP	IN	O	2	NMOD
23	the	the	B-NP	DT	O	25	NMOD
24	cytoplasmic	cytoplasmic	I-NP	JJ	O	25	NMOD
25	membranes	membrane	I-NP	NNS	O	22	PMOD
26	of	of	B-PP	IN	O	25	NMOD
27	Ralstonia	Ralstonia	B-NP	NNP	O	29	NMOD
28	eutropha	eutropha	I-NP	NN	O	29	NMOD
29	H850	H850	I-NP	NN	O	26	PMOD
30	were	be	B-VP	VBD	O	0	ROOT
31	investigated	investigate	I-VP	VBN	O	30	VC
32	by	by	B-PP	IN	O	31	VMOD
33	measuring	measure	B-VP	VBG	O	32	PMOD
34	fluorescence	fluorescence	B-NP	NN	O	35	NMOD
35	polarization	polarization	I-NP	NN	O	33	OBJ
36	using	use	B-VP	VBG	O	35	NMOD
37	1	1	B-NP	CD	O	57	NMOD
38	,	,	I-NP	,	O	57	P
39	6-diphenyl-1	6-diphenyl-1	I-NP	CD	O	57	NMOD
40	,	,	I-NP	,	O	57	P
41	3	3	I-NP	CD	O	57	NMOD
42	,	,	O	,	O	57	P
43	5-hexatriene	5-hexatriene	B-NP	NN	O	57	NMOD
44	(	(	O	(	O	46	DEP
45	DPH	DPH	B-NP	NN	O	46	DEP
46	)	)	O	)	O	43	NMOD
47	as	as	B-PP	IN	O	43	NMOD
48	the	the	B-NP	DT	O	49	NMOD
49	probe	probe	I-NP	NN	O	47	PMOD
50	,	,	O	,	O	57	P
51	and	and	O	CC	O	57	NMOD
52	determining	determine	B-VP	VBG	O	57	NMOD
53	the	the	B-NP	DT	O	57	NMOD
54	cellular	cellular	I-NP	JJ	O	57	NMOD
55	fatty	fatty	I-NP	JJ	O	57	NMOD
56	acid	acid	I-NP	NN	O	57	NMOD
57	compositions	composition	I-NP	NNS	O	36	OBJ
58	.	.	O	.	O	30	P

1	TeCB	TeCB	B-NP	NN	B-protein	3	SUB
2	significantly	significantly	B-VP	RB	O	3	VMOD
3	affected	affect	I-VP	VBD	O	0	ROOT
4	the	the	B-NP	DT	O	5	NMOD
5	membrane	membrane	I-NP	NN	O	3	OBJ
6	of	of	B-PP	IN	O	5	NMOD
7	R.	R.	B-NP	NNP	B-cell_line	10	NMOD
8	eutropha	eutropha	I-NP	NN	I-cell_line	10	NMOD
9	H850	H850	I-NP	NN	I-cell_line	10	NMOD
10	cells	cell	I-NP	NNS	I-cell_line	6	PMOD
11	grown	grow	B-VP	VBN	O	10	NMOD
12	on	on	B-PP	IN	O	11	VMOD
13	fructose	fructose	B-NP	NN	O	12	PMOD
14	by	by	B-PP	IN	O	11	VMOD
15	decreasing	decrease	B-VP	VBG	O	14	PMOD
16	DPH	DPH	B-NP	NN	O	18	NMOD
17	fluorescence	fluorescence	I-NP	NN	O	18	NMOD
18	polarization	polarization	I-NP	NN	O	15	OBJ
19	.	.	O	.	O	3	P

1	In	In	B-PP	IN	O	11	VMOD
2	contrast	contrast	B-NP	NN	O	1	PMOD
3	,	,	O	,	O	11	P
4	the	the	B-NP	DT	O	5	NMOD
5	membrane	membrane	I-NP	NN	O	11	SUB
6	of	of	B-PP	IN	O	5	NMOD
7	cells	cell	B-NP	NNS	O	6	PMOD
8	grown	grow	B-VP	VBN	O	7	NMOD
9	on	on	B-PP	IN	O	8	VMOD
