1	Attachment	Attachment	B-NP	NN	O	7	NMOD
2	of	of	B-PP	IN	O	1	NMOD
3	Escherichia	Escherichia	B-NP	FW	O	4	AMOD
4	coli	coli	I-NP	FW	O	5	NMOD
5	O157	O157	I-NP	NN	O	2	PMOD
6	:	:	O	:	O	1	P
7	H7	H7	B-NP	NN	O	32	NMOD
8	grown	grow	B-VP	VBN	O	7	NMOD
9	in	in	B-PP	IN	O	8	VMOD
10	tryptic	tryptic	B-NP	JJ	O	12	NMOD
11	soy	soy	I-NP	NN	O	12	NMOD
12	broth	broth	I-NP	NN	O	15	NMOD
13	and	and	O	CC	O	15	NMOD
14	nutrient	nutrient	B-NP	NN	O	15	NMOD
15	broth	broth	I-NP	NN	O	9	PMOD
16	to	to	B-VP	TO	O	17	VMOD
17	apple	apple	I-VP	VB	O	8	VMOD
18	and	and	I-VP	CC	O	17	VMOD
19	lettuce	lettuce	I-VP	VB	O	17	VMOD
20	surfaces	surface	B-NP	NNS	O	19	OBJ
21	as	as	B-PP	IN	O	17	VMOD
22	related	related	B-ADJP	JJ	O	21	PMOD
23	to	to	B-PP	TO	O	22	AMOD
24	cell	cell	B-NP	NN	O	25	NMOD
25	hydrophobicity	hydrophobicity	I-NP	NN	O	23	PMOD
26	,	,	O	,	O	32	P
27	surface	surface	B-NP	NN	O	28	NMOD
28	charge	charge	I-NP	NN	O	32	NMOD
29	,	,	O	,	O	32	P
30	and	and	O	CC	O	32	NMOD
31	capsule	capsule	B-NP	NN	O	32	NMOD
32	production	production	I-NP	NN	O	0	ROOT
33	.	.	O	.	O	32	P

1	This	This	B-NP	DT	O	2	NMOD
2	study	study	I-NP	NN	O	3	SUB
3	investigated	investigate	B-VP	VBD	O	0	ROOT
4	the	the	B-NP	DT	O	5	NMOD
5	effect	effect	I-NP	NN	O	3	OBJ
6	of	of	B-PP	IN	O	5	NMOD
7	growth	growth	B-NP	NN	O	6	PMOD
8	in	in	B-PP	IN	O	5	NMOD
9	tryptic	tryptic	B-NP	JJ	O	11	NMOD
10	soy	soy	I-NP	NN	O	11	NMOD
11	broth	broth	I-NP	NN	O	17	NMOD
12	(	(	O	(	O	14	DEP
13	TSB	TSB	B-NP	NN	B-protein	14	DEP
14	)	)	O	)	O	11	NMOD
15	and	and	O	CC	O	17	NMOD
16	nutrient	nutrient	B-NP	NN	O	17	NMOD
17	broth	broth	I-NP	NN	O	8	PMOD
18	(	(	O	(	O	20	DEP
19	NB	NB	B-NP	NN	O	20	DEP
20	)	)	O	)	O	17	NMOD
21	on	on	B-PP	IN	O	5	NMOD
22	the	the	B-NP	DT	O	26	NMOD
23	ability	ability	I-NP	NN	O	26	NMOD
24	Escherichia	Escherichia	B-NP	FW	O	26	NMOD
25	coli	coli	I-NP	FW	O	26	NMOD
26	O157	O157	I-NP	NN	O	21	PMOD
27	:	:	O	:	O	3	P
28	H7	H7	B-NP	NN	O	3	VMOD
29	to	to	B-VP	TO	O	30	VMOD
30	attach	attach	I-VP	VB	O	28	NMOD
31	to	to	B-VP	TO	O	32	VMOD
32	lettuce	lettuce	I-VP	VB	O	30	VMOD
33	and	and	I-VP	CC	O	30	VMOD
34	apple	apple	I-VP	VB	O	30	VMOD
35	surfaces	surface	B-NP	NNS	O	34	OBJ
36	.	.	O	.	O	3	P

1	In	In	B-PP	IN	O	12	VMOD
2	addition	addition	B-NP	NN	O	1	PMOD
3	,	,	O	,	O	12	P
4	cell	cell	B-NP	NN	O	6	NMOD
5	surface	surface	I-NP	NN	O	6	NMOD
6	hydrophobicity	hydrophobicity	I-NP	NN	O	11	NMOD
7	,	,	O	,	O	11	P
8	charge	charge	B-NP	NN	O	11	NMOD
9	and	and	O	CC	O	11	NMOD
10	capsule	capsule	B-NP	NN	O	11	NMOD
11	production	production	I-NP	NN	O	12	SUB
12	were	be	B-VP	VBD	O	0	ROOT
13	determined	determine	I-VP	VBN	O	12	VC
14	on	on	B-PP	IN	O	13	VMOD
15	cells	cell	B-NP	NNS	O	14	PMOD
16	grown	grow	B-VP	VBN	O	15	NMOD
17	in	in	B-PP	IN	O	16	VMOD
18	these	these	B-NP	DT	O	19	NMOD
19	media	medium	I-NP	NNS	O	17	PMOD
20	.	.	O	.	O	12	P

1	Cells	Cell	B-NP	NNS	O	5	SUB
2	grown	grow	B-VP	VBN	O	1	NMOD
3	in	in	B-PP	IN	O	2	VMOD
4	NB	NB	B-NP	NN	O	3	PMOD
5	attached	attach	B-VP	VBD	O	0	ROOT
6	less	less	B-NP	JJR	O	8	SUB
7	to	to	B-VP	TO	O	8	VMOD
8	lettuce	lettuce	I-VP	VB	O	5	VMOD
9	and	and	I-VP	CC	O	8	VMOD
10	apple	apple	I-VP	VB	O	8	VMOD
11	surfaces	surface	B-NP	NNS	O	8	VMOD
12	than	than	B-SBAR	IN	O	11	NMOD
13	did	do	O	VBD	O	12	DEP
14	those	those	B-NP	DT	O	13	SUB
15	grown	grow	B-VP	VBN	O	14	NMOD
16	in	in	B-PP	IN	O	15	VMOD
17	TSB	TSB	B-NP	NN	B-protein	16	PMOD
18	.	.	O	.	O	5	P

1	TSB	TSB	B-NP	NN	B-protein	5	NMOD
2	,	,	O	,	O	5	P
3	but	but	O	CC	O	5	NMOD
4	not	not	O	RB	O	3	DEP
5	NB	NB	B-NP	NN	O	7	SUB
6	,	,	O	,	O	5	P
7	supported	support	B-VP	VBD	O	0	ROOT
8	capsule	capsule	B-NP	NN	O	9	NMOD
9	production	production	I-NP	NN	O	7	OBJ
10	by	by	B-PP	IN	O	7	VMOD
11	E.	E.	B-NP	FW	O	12	AMOD
12	coli	coli	I-NP	FW	O	13	NMOD
13	O157	O157	I-NP	NN	O	10	PMOD
14	:	:	O	:	O	7	P
15	H7	H7	B-NP	NN	O	7	VMOD
16	.	.	O	.	O	7	P

1	Cells	Cell	B-NP	NNS	O	5	SUB
2	grown	grow	B-VP	VBN	O	1	NMOD
3	in	in	B-PP	IN	O	2	VMOD
4	TSB	TSB	B-NP	NN	B-protein	3	PMOD
5	were	be	B-VP	VBD	O	0	ROOT
6	more	more	B-ADJP	RBR	O	7	AMOD
7	hydrophilic	hydrophilic	I-ADJP	JJ	O	5	PRD
8	than	than	B-PP	IN	O	7	AMOD
9	those	those	B-NP	DT	O	8	PMOD
10	grown	grow	B-VP	VBN	O	9	NMOD
11	in	in	B-PP	IN	O	10	VMOD
12	NB	NB	B-NP	NN	O	11	PMOD
13	.	.	O	.	O	5	P

1	No	No	B-NP	DT	O	2	NMOD
2	difference	difference	I-NP	NN	O	3	SUB
3	was	be	B-VP	VBD	O	0	ROOT
4	found	find	I-VP	VBN	O	3	VC
5	in	in	B-PP	IN	O	4	VMOD
6	the	the	B-NP	DT	O	8	NMOD
7	electrokinetic	electrokinetic	I-NP	JJ	O	8	NMOD
8	properties	property	I-NP	NNS	O	5	PMOD
9	of	of	B-PP	IN	O	8	NMOD
10	cells	cell	B-NP	NNS	O	9	PMOD
11	grown	grow	B-VP	VBN	O	10	NMOD
12	in	in	B-PP	IN	O	11	VMOD
13	these	these	B-NP	DT	O	14	NMOD
14	media	medium	I-NP	NNS	O	12	PMOD
15	.	.	O	.	O	3	P

1	Electrostatic	Electrostatic	B-NP	JJ	O	4	NMOD
2	and	and	I-NP	CC	O	4	NMOD
3	hydrophobic	hydrophobic	I-NP	JJ	O	4	NMOD
4	interactions	interaction	I-NP	NNS	O	7	NMOD
5	and	and	O	CC	O	7	NMOD
6	surface	surface	B-NP	NN	B-protein	7	NMOD
7	proteins	protein	I-NP	NNS	I-protein	8	SUB
8	did	do	B-VP	VBD	O	0	ROOT
9	not	not	I-VP	RB	O	8	VMOD
10	appear	appear	I-VP	VB	O	8	VC
11	to	to	I-VP	TO	O	12	VMOD
12	play	play	I-VP	VB	O	10	VMOD
13	an	an	B-NP	DT	O	15	NMOD
14	important	important	I-NP	JJ	O	15	NMOD
15	role	role	I-NP	NN	O	12	OBJ
16	in	in	B-PP	IN	O	12	VMOD
17	the	the	B-NP	DT	O	18	NMOD
18	attachment	attachment	I-NP	NN	O	16	PMOD
19	of	of	B-PP	IN	O	18	NMOD
20	E.	E.	B-NP	FW	O	21	AMOD
21	coli	coli	I-NP	FW	O	22	NMOD
22	O157	O157	I-NP	NN	O	19	PMOD
23	:	:	O	:	O	8	P
24	H7	H7	B-NP	NN	O	8	OBJ
25	to	to	B-PP	TO	O	8	VMOD
26	these	these	B-NP	DT	O	27	NMOD
27	surfaces	surface	I-NP	NNS	O	25	PMOD
28	.	.	O	.	O	8	P

1	Of	Of	B-PP	IN	O	9	VMOD
2	the	the	B-NP	DT	O	3	NMOD
