1	Ability	Ability	B-NP	NN	O	0	ROOT
2	of	of	B-PP	IN	O	1	NMOD
3	Lactobacillus	Lactobacillus	B-NP	NN	B-protein	5	NMOD
4	gasseri	gasseri	I-NP	NN	I-protein	5	NMOD
5	K	K	I-NP	NN	I-protein	2	PMOD
6	7	7	I-NP	CD	I-protein	5	NMOD
7	to	to	B-VP	TO	O	8	VMOD
8	inhibit	inhibit	I-VP	VB	O	1	NMOD
9	Escherichia	Escherichia	B-NP	FW	O	11	NMOD
10	coli	coli	I-NP	FW	O	11	NMOD
11	adhesion	adhesion	I-NP	NN	O	8	OBJ
12	in	in	B-ADVP	FW	O	8	VMOD
13	vitro	vitro	I-ADVP	FW	O	12	AMOD
14	on	on	B-PP	IN	O	8	VMOD
15	Caco-2	Caco-2	B-NP	NN	B-cell_line	16	NMOD
16	cells	cell	I-NP	NNS	I-cell_line	14	PMOD
17	and	and	O	CC	O	19	NMOD
18	ex	ex	B-NP	FW	O	19	NMOD
19	vivo	vivo	I-NP	FW	O	16	NMOD
20	on	on	B-PP	IN	O	16	NMOD
21	pigs	pig	B-NP	NNS	O	24	NMOD
22	'	'	B-NP	POS	O	24	NMOD
23	jejunal	jejunal	I-NP	JJ	O	24	NMOD
24	tissue	tissue	I-NP	NN	O	20	PMOD
25	.	.	O	.	O	1	P

1	The	The	B-NP	DT	O	2	NMOD
2	ability	ability	I-NP	NN	O	19	NMOD
3	of	of	B-PP	IN	O	2	NMOD
4	Lactobacillus	Lactobacillus	B-NP	NN	B-protein	9	NMOD
5	(	(	O	(	I-protein	9	NMOD
6	Lb.	Lb.	B-NP	NN	I-protein	9	NMOD
7	)	)	O	)	I-protein	9	NMOD
8	gasseri	gasseri	B-NP	NN	I-protein	9	NMOD
9	K	K	I-NP	NN	I-protein	3	PMOD
10	7	7	I-NP	CD	I-protein	9	NMOD
11	to	to	B-VP	TO	O	12	VMOD
12	inhibit	inhibit	I-VP	VB	O	2	NMOD
13	adhesion	adhesion	B-NP	NN	O	12	OBJ
14	of	of	B-PP	IN	O	13	NMOD
15	Escherichia	Escherichia	B-NP	FW	O	16	AMOD
16	coli	coli	I-NP	FW	O	17	NMOD
17	O8	O8	I-NP	NN	O	14	PMOD
18	:	:	O	:	O	2	P
19	K88	K88	B-NP	NN	O	23	SUB
20	to	to	B-PP	TO	O	19	NMOD
21	intestinal	intestinal	B-NP	JJ	O	22	NMOD
22	mucosa	mucosa	I-NP	NN	O	20	PMOD
