1	Quorum-sensing	Quorum-sensing	B-NP	JJ	O	2	NMOD
2	regulation	regulation	I-NP	NN	O	9	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	adhesion	adhesion	B-NP	NN	O	3	PMOD
5	in	in	B-PP	IN	O	2	NMOD
6	Serratia	Serratia	B-NP	NNP	O	8	NMOD
7	marcescens	marcescens	I-NP	NNP	O	8	NMOD
8	MG1	MG1	I-NP	NN	B-protein	5	PMOD
9	is	be	B-VP	VBZ	O	0	ROOT
10	surface	surface	B-NP	NN	O	11	AMOD
11	dependent	dependent	B-ADJP	JJ	O	9	PRD
12	.	.	O	.	O	9	P

1	Serratia	Serratia	B-NP	NNP	O	2	NMOD
2	marcescens	marcescens	I-NP	NNP	O	3	SUB
3	is	be	B-VP	VBZ	O	0	ROOT
4	an	an	B-NP	DT	O	6	NMOD
5	opportunistic	opportunistic	I-NP	JJ	O	6	NMOD
6	pathogen	pathogen	I-NP	NN	O	10	NMOD
7	and	and	O	CC	O	10	NMOD
8	a	a	B-NP	DT	O	10	NMOD
9	major	major	I-NP	JJ	O	10	NMOD
10	cause	cause	I-NP	NN	O	3	PRD
11	of	of	B-PP	IN	O	10	NMOD
12	ocular	ocular	B-NP	JJ	O	13	NMOD
13	infections	infection	I-NP	NNS	O	11	PMOD
14	.	.	O	.	O	3	P

1	In	In	B-PP	IN	O	10	VMOD
2	previous	previous	B-NP	JJ	O	3	NMOD
3	studies	study	I-NP	NNS	O	1	PMOD
4	of	of	B-PP	IN	O	3	NMOD
5	S.	S.	B-NP	NNP	O	7	NMOD
6	marcescens	marcescens	I-NP	NNP	O	7	NMOD
7	MG1	MG1	I-NP	NN	O	4	PMOD
8	,	,	O	,	O	10	P
9	we	we	B-NP	PRP	O	10	SUB
10	showed	show	B-VP	VBD	O	0	ROOT
11	that	that	B-SBAR	IN	O	10	VMOD
12	biofilm	biofilm	B-NP	NN	O	13	NMOD
13	maturation	maturation	I-NP	NN	O	15	NMOD
14	and	and	I-NP	CC	O	15	NMOD
15	sloughing	sloughing	I-NP	NN	O	16	SUB
16	were	be	B-VP	VBD	O	11	SBAR
17	regulated	regulate	I-VP	VBN	O	16	VC
18	by	by	B-PP	IN	O	17	VMOD
19	N-acyl	N-acyl	B-NP	NN	O	21	NMOD
20	homoserine	homoserine	I-NP	NN	O	21	NMOD
21	lactone	lactone	I-NP	NN	O	27	NMOD
22	(	(	O	(	O	24	DEP
23	AHL	AHL	B-NP	NN	O	24	DEP
24	)	)	O	)	O	21	NMOD
25	-based	-based	B-NP	JJ	O	27	NMOD
26	quorum	quorum	I-NP	NN	O	27	NMOD
27	sensing	sensing	I-NP	NN	O	18	PMOD
28	(	(	O	(	O	30	DEP
29	QS	QS	B-NP	NN	B-protein	30	DEP
30	)	)	O	)	O	27	NMOD
31	.	.	O	.	O	10	P

1	Because	Because	B-PP	IN	O	20	VMOD
2	of	of	I-PP	IN	O	1	PMOD
3	the	the	B-NP	DT	O	4	NMOD
4	importance	importance	I-NP	NN	O	1	PMOD
