1	Molecular	Molecular	B-NP	JJ	O	2	NMOD
2	cloning	cloning	I-NP	NN	O	4	NMOD
3	and	and	I-NP	CC	O	4	NMOD
4	expression	expression	I-NP	NN	O	13	NMOD
5	of	of	B-PP	IN	O	4	NMOD
6	MyD88	MyD88	B-NP	NN	B-protein	5	PMOD
7	in	in	B-PP	IN	O	4	NMOD
8	large	large	B-NP	JJ	O	10	NMOD
9	yellow	yellow	I-NP	JJ	O	10	NMOD
10	croaker	croaker	I-NP	NN	O	7	PMOD
11	,	,	O	,	O	13	P
12	Pseudosciaena	Pseudosciaena	B-NP	NNP	O	13	NMOD
13	crocea	crocea	I-NP	NN	O	0	ROOT
14	.	.	O	.	O	13	P

1	Myeloid	Myeloid	B-NP	JJ	B-protein	3	NMOD
2	differentiation	differentiation	I-NP	NN	I-protein	3	NMOD
3	factor	factor	I-NP	NN	I-protein	8	SUB
4	88	88	I-NP	CD	I-protein	3	NMOD
5	(	(	O	(	O	7	DEP
6	MyD88	MyD88	B-NP	NN	B-protein	7	DEP
7	)	)	O	)	O	3	NMOD
8	is	be	B-VP	VBZ	O	0	ROOT
9	an	an	B-NP	DT	O	11	NMOD
10	adaptor	adaptor	I-NP	NN	B-protein	11	NMOD
11	protein	protein	I-NP	NN	I-protein	8	PRD
12	involved	involve	B-VP	VBN	O	11	NMOD
13	in	in	B-PP	IN	O	12	VMOD
14	the	the	B-NP	DT	O	16	NMOD
15	interleukin-1	interleukin-1	I-NP	NN	B-protein	16	NMOD
16	receptor	receptor	I-NP	NN	I-protein	20	NMOD
17	and	and	O	CC	O	20	NMOD
18	Toll-like	Toll-like	B-NP	JJ	O	20	NMOD
19	receptor-induced	receptor-induced	I-NP	JJ	O	20	NMOD
20	activation	activation	I-NP	NN	O	13	PMOD
21	of	of	B-PP	IN	O	20	NMOD
22	nuclear	nuclear	B-NP	JJ	B-protein	23	NMOD
23	factor-kappaB	factor-kappaB	I-NP	NN	I-protein	21	PMOD
24	(	(	O	(	O	26	DEP
25	NF-kappaB	NF-kappaB	B-NP	NN	B-protein	26	DEP
26	)	)	O	)	O	23	NMOD
27	.	.	O	.	O	8	P

1	In	In	B-PP	IN	O	10	VMOD
2	this	this	B-NP	DT	O	3	NMOD
3	report	report	I-NP	NN	O	1	PMOD
4	,	,	O	,	O	10	P
5	the	the	B-NP	DT	O	7	NMOD
6	full-length	full-length	I-NP	JJ	O	7	NMOD
7	cDNA	cDNA	I-NP	NN	O	10	SUB
8	of	of	B-PP	IN	O	7	NMOD
9	MyD88	MyD88	B-NP	NN	B-protein	8	PMOD
10	was	be	B-VP	VBD	O	0	ROOT
11	cloned	clone	I-VP	VBN	O	10	VC
12	from	from	B-PP	IN	O	11	VMOD
13	the	the	B-NP	DT	O	16	NMOD
14	large	large	I-NP	JJ	O	16	NMOD
15	yellow	yellow	I-NP	JJ	O	16	NMOD
16	croaker	croaker	I-NP	NN	O	12	PMOD
17	,	,	O	,	O	19	P
18	Pseudosciaena	Pseudosciaena	B-NP	NNP	O	19	NMOD
19	crocea	crocea	I-NP	NN	O	10	VMOD
20	.	.	O	.	O	10	P

1	It	It	B-NP	PRP	O	2	SUB
2	was	be	B-VP	VBD	O	0	ROOT
3	of	of	B-PP	IN	O	2	PRD
4	1574	1574	B-NP	CD	O	5	NMOD
5	bp	bp	I-NP	NN	O	3	PMOD
6	,	,	O	,	O	2	P
7	including	include	B-PP	VBG	O	2	VMOD
8	a	a	B-NP	DT	O	11	NMOD
9	5'-terminal	5'-terminal	I-NP	JJ	B-DNA	11	NMOD
10	untranslated	untranslated	I-NP	JJ	I-DNA	11	NMOD
11	region	region	I-NP	NN	I-DNA	21	NMOD
12	(	(	O	(	O	14	DEP
13	UTR	UTR	B-NP	NN	B-DNA	14	DEP
14	)	)	O	)	O	11	NMOD
15	of	of	B-PP	IN	O	11	NMOD
16	89	89	B-NP	CD	O	17	NMOD
17	bp	bp	I-NP	NN	O	15	PMOD
18	,	,	O	,	O	21	P
19	a	a	B-NP	DT	O	21	NMOD
20	3'-terminal	3'-terminal	I-NP	JJ	B-DNA	21	NMOD
21	UTR	UTR	I-NP	NN	I-DNA	28	NMOD
22	of	of	B-PP	IN	O	21	NMOD
23	621bp	621bp	B-NP	NN	O	22	PMOD
24	and	and	O	CC	O	28	NMOD
25	an	an	B-NP	DT	O	28	NMOD
26	open	open	I-NP	JJ	B-DNA	28	NMOD
27	reading	reading	I-NP	NN	I-DNA	28	NMOD
28	frame	frame	I-NP	NN	I-DNA	7	PMOD
29	(	(	O	(	O	31	DEP
30	ORF	ORF	B-NP	NN	B-DNA	31	DEP
31	)	)	O	)	O	28	NMOD
32	of	of	B-PP	IN	O	28	NMOD
