1	Rapid	Rapid	B-NP	JJ	O	2	NMOD
2	detection	detection	I-NP	NN	O	0	ROOT
3	of	of	B-PP	IN	O	2	NMOD
4	eight	eight	B-NP	CD	O	6	NMOD
5	causative	causative	I-NP	JJ	O	6	NMOD
6	pathogens	pathogen	I-NP	NNS	O	3	PMOD
7	for	for	B-PP	IN	O	6	NMOD
8	the	the	B-NP	DT	O	9	NMOD
9	diagnosis	diagnosis	I-NP	NN	O	7	PMOD
10	of	of	B-PP	IN	O	9	NMOD
11	bacterial	bacterial	B-NP	JJ	O	12	NMOD
12	meningitis	meningitis	I-NP	NN	O	10	PMOD
13	by	by	B-PP	IN	O	9	NMOD
14	real-time	real-time	B-NP	JJ	O	15	NMOD
15	PCR	PCR	I-NP	NN	O	13	PMOD
16	.	.	O	.	O	2	P

1	We	We	B-NP	PRP	O	2	SUB
2	aimed	aim	B-VP	VBD	O	0	ROOT
3	to	to	I-VP	TO	O	4	VMOD
4	detect	detect	I-VP	VB	O	2	VMOD
5	causative	causative	B-NP	JJ	O	6	NMOD
6	pathogens	pathogen	I-NP	NNS	O	4	OBJ
7	in	in	B-PP	IN	O	4	VMOD
8	cerebrospinal	cerebrospinal	B-NP	JJ	O	9	NMOD
9	fluid	fluid	I-NP	NN	O	7	PMOD
10	(	(	O	(	O	12	DEP
11	CSF	CSF	B-NP	NN	B-protein	12	DEP
12	)	)	O	)	O	9	NMOD
13	collected	collect	B-VP	VBN	O	9	NMOD
14	from	from	B-PP	IN	O	13	VMOD
15	patients	patient	B-NP	NNS	O	14	PMOD
16	diagnosed	diagnose	B-VP	VBN	O	15	NMOD
17	with	with	B-PP	IN	O	16	VMOD
18	bacterial	bacterial	B-NP	JJ	O	19	NMOD
19	meningitis	meningitis	I-NP	NN	O	17	PMOD
20	by	by	B-PP	IN	O	16	VMOD
21	real-time	real-time	B-NP	JJ	O	24	NMOD
22	polymerase	polymerase	I-NP	NN	O	24	NMOD
23	chain	chain	I-NP	NN	O	24	NMOD
24	reaction	reaction	I-NP	NN	O	20	PMOD
25	(	(	O	(	O	27	DEP
26	PCR	PCR	B-NP	NN	O	27	DEP
27	)	)	O	)	O	24	NMOD
28	.	.	O	.	O	2	P

1	In	In	B-PP	IN	O	36	VMOD
2	addition	addition	B-NP	NN	O	1	PMOD
3	to	to	B-PP	TO	O	2	NMOD
4	Streptococcus	Streptococcus	B-NP	NNP	O	5	NMOD
5	pneumoniae	pneumoniae	I-NP	NNP	O	3	PMOD
6	,	,	O	,	O	36	P
7	Haemophilus	Haemophilus	B-NP	NNP	O	8	NMOD
8	influenzae	influenzae	I-NP	NNP	O	34	NMOD
9	,	,	O	,	O	34	P
10	and	and	O	CC	O	12	NMOD
11	Mycoplasma	Mycoplasma	B-NP	NN	B-protein	12	NMOD
12	pneumoniae	pneumoniae	I-NP	NNS	I-protein	34	NMOD
13	described	describe	B-VP	VBN	O	12	NMOD
14	previously	previously	B-ADVP	RB	O	13	VMOD
15	,	,	O	,	O	34	P
16	five	five	B-NP	CD	O	18	NMOD
17	other	other	I-NP	JJ	O	18	NMOD
18	pathogens	pathogen	I-NP	NNS	O	34	NMOD
19	,	,	O	,	O	34	P
20	Neisseria	Neisseria	B-NP	NNP	O	21	NMOD
21	meningitidis	meningitidis	I-NP	NNP	O	24	NMOD
22	,	,	O	,	O	24	P
23	Escherichia	Escherichia	B-NP	NNP	O	24	NMOD
24	coli	coli	I-NP	NNP	O	27	NMOD
25	,	,	O	,	O	27	P
26	Streptococcus	Streptococcus	B-NP	NNP	O	27	NMOD
27	agalactiae	agalactiae	I-NP	NNP	O	34	NMOD
28	,	,	O	,	O	34	P
29	Staphylococcus	Staphylococcus	B-NP	NNP	O	30	NMOD
30	aureus	aureus	I-NP	NNP	O	34	NMOD
31	,	,	O	,	O	34	P
32	and	and	O	CC	O	34	NMOD
33	Listeria	Listeria	B-NP	NNP	O	34	NMOD
34	monocytogenes	monocytogene	I-NP	NNS	O	36	SUB
35	,	,	O	,	O	36	P
36	were	be	B-VP	VBD	O	0	ROOT
37	targeted	target	I-VP	VBN	O	36	VC
38	,	,	O	,	O	37	P
39	based	base	B-PP	VBN	O	37	VMOD
40	on	on	B-PP	IN	O	39	PMOD
41	a	a	B-NP	DT	O	43	NMOD
42	large-scale	large-scale	I-NP	JJ	O	43	NMOD
43	surveillance	surveillance	I-NP	NN	O	40	PMOD
44	in	in	B-PP	IN	O	43	NMOD
45	Japan	Japan	B-NP	NNP	O	44	PMOD
46	.	.	O	.	O	36	P

1	Results	Result	B-NP	NNS	O	26	SUB
2	in	in	B-PP	IN	O	1	NMOD
3	CSF	CSF	B-NP	NN	B-protein	2	PMOD
4	from	from	B-PP	IN	O	3	NMOD
5	neonates	neonate	B-NP	NNS	O	7	NMOD
6	and	and	I-NP	CC	O	7	NMOD
7	children	child	I-NP	NNS	O	4	PMOD
8	(	(	O	(	O	10	DEP
9	n=150	n=150	B-NP	NN	B-protein	10	DEP
10	)	)	O	)	O	7	NMOD
11	,	,	B-PP	,	O	4	P
