1	Evaluation	Evaluation	B-NP	NN	O	8	NMOD
2	of	of	B-PP	IN	O	1	NMOD
3	a	a	B-NP	DT	O	5	NMOD
4	lytic	lytic	I-NP	JJ	O	5	NMOD
5	bacteriophage	bacteriophage	I-NP	NN	O	2	PMOD
6	,	,	O	,	O	8	P
7	Φ	Φ	B-NP	NN	B-protein	8	NMOD
8	st1	st1	I-NP	NN	I-protein	0	ROOT
9	,	,	O	,	O	8	P
10	for	for	B-PP	IN	O	8	NMOD
11	biocontrol	biocontrol	B-NP	NN	O	10	PMOD
12	of	of	B-PP	IN	O	11	NMOD
13	Salmonella	Salmonella	B-NP	NNP	O	16	NMOD
14	enterica	enterica	I-NP	NNP	O	16	NMOD
15	serovar	serovar	I-NP	NNP	O	16	NMOD
16	Typhimurium	Typhimurium	I-NP	NNP	O	12	PMOD
17	in	in	B-PP	IN	O	16	NMOD
18	chickens	chicken	B-NP	NNS	O	17	PMOD
19	.	.	O	.	O	8	P

1	In	In	B-PP	IN	O	22	VMOD
2	this	this	B-NP	DT	O	3	NMOD
3	study	study	I-NP	NN	O	1	PMOD
4	,	,	O	,	O	22	P
5	a	a	B-NP	DT	O	9	NMOD
6	Salmonella	Salmonella	I-NP	NNP	O	9	NMOD
7	Typhimurium	Typhimurium	I-NP	NNP	O	9	NMOD
8	lytic	lytic	I-NP	JJ	O	9	NMOD
9	bacteriophage	bacteriophage	I-NP	NN	O	12	NMOD
10	,	,	O	,	O	12	P
11	Φ	Φ	B-NP	NN	B-protein	12	NMOD
12	st1	st1	I-NP	NN	I-protein	22	SUB
13	,	,	O	,	O	12	P
14	which	which	B-NP	WDT	O	12	NMOD
15	was	be	B-VP	VBD	O	14	SBAR
16	isolated	isolate	I-VP	VBN	O	15	VC
17	from	from	B-PP	IN	O	16	VMOD
18	chicken	chicken	B-NP	NN	O	20	NMOD
19	faecal	faecal	I-NP	JJ	O	20	NMOD
20	material	material	I-NP	NN	O	17	PMOD
21	,	,	O	,	O	12	P
22	was	be	B-VP	VBD	O	0	ROOT
23	evaluated	evaluate	I-VP	VBN	O	22	VC
24	as	as	B-PP	IN	O	23	VMOD
25	a	a	B-NP	DT	O	26	NMOD
26	candidate	candidate	I-NP	NN	O	24	PMOD
27	for	for	B-PP	IN	O	26	NMOD
28	biocontrol	biocontrol	B-NP	NN	O	27	PMOD
29	of	of	B-PP	IN	O	28	NMOD
30	Salmonella	Salmonella	B-NP	NNP	O	29	PMOD
31	in	in	B-PP	IN	O	28	NMOD
32	chickens	chicken	B-NP	NNS	O	31	PMOD
33	.	.	O	.	O	22	P

1	The	The	B-NP	DT	O	2	NMOD
2	morphology	morphology	I-NP	NN	O	6	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	Φ	Φ	B-NP	NN	B-protein	5	NMOD
5	st1	st1	I-NP	NN	I-protein	3	PMOD
6	showed	show	B-VP	VBD	O	0	ROOT
7	strong	strong	B-NP	JJ	O	8	NMOD
8	resemblance	resemblance	I-NP	NN	O	6	OBJ
9	to	to	B-PP	TO	O	8	NMOD
10	members	member	B-NP	NNS	O	9	PMOD
11	of	of	B-PP	IN	O	10	NMOD
12	the	the	B-NP	DT	O	14	NMOD
13	Siphoviridae	Siphoviridae	I-NP	NNP	B-protein	14	NMOD
14	family	family	I-NP	NN	I-protein	11	PMOD
15	.	.	O	.	O	6	P

1	Φ	Φ	B-NP	NN	B-protein	2	NMOD
2	st1	st1	I-NP	NN	I-protein	3	SUB
3	was	be	B-VP	VBD	O	0	ROOT
4	observed	observe	I-VP	VBN	O	3	VC
5	to	to	I-VP	TO	O	6	VMOD
6	be	be	I-VP	VB	O	4	VMOD
7	a	a	B-NP	DT	O	9	NMOD
8	DNA	DNA	I-NP	NN	O	9	NMOD
9	phage	phage	I-NP	NN	O	6	PRD
10	with	with	B-PP	IN	O	9	NMOD
11	an	an	B-NP	DT	O	14	NMOD
12	estimated	estimate	I-NP	VBN	O	14	NMOD
13	genome	genome	I-NP	NN	O	14	NMOD
14	size	size	I-NP	NN	O	10	PMOD
15	of	of	B-PP	IN	O	14	NMOD
16	121	121	B-NP	CD	O	17	NMOD
17	kbp	kbp	I-NP	NN	O	15	PMOD
18	.	.	O	.	O	3	P

1	It	It	B-NP	PRP	O	2	SUB
2	was	be	B-VP	VBD	O	0	ROOT
3	found	find	I-VP	VBN	O	2	VC
4	to	to	I-VP	TO	O	5	VMOD
5	be	be	I-VP	VB	O	3	VMOD
6	able	able	B-ADJP	JJ	O	5	PRD
7	to	to	B-VP	TO	O	8	VMOD
8	infect	infect	I-VP	VB	O	6	AMOD
9	S.	S.	B-NP	NNP	O	10	NMOD
10	Typhimurium	Typhimurium	I-NP	NNP	O	13	NMOD
11	and	and	O	CC	O	13	NMOD
12	S.	S.	B-NP	NNP	O	13	NMOD
13	Hadar	Hadar	I-NP	NNP	O	8	OBJ
14	,	,	O	,	O	8	P
15	with	with	B-PP	IN	O	8	VMOD
16	a	a	B-NP	DT	O	19	NMOD
17	stronger	strong	I-NP	JJR	O	19	NMOD
18	lytic	lytic	I-NP	JJ	O	19	NMOD
19	activity	activity	I-NP	NN	O	15	PMOD
20	against	against	B-PP	IN	O	19	NMOD
21	the	the	B-NP	DT	O	22	NMOD
22	former	former	I-NP	JJ	O	20	PMOD
23	.	.	O	.	O	2	P

1	Subsequent	Subsequent	B-NP	JJ	O	2	NMOD
2	characterisation	characterisation	I-NP	NN	O	9	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	Φ	Φ	B-NP	NN	B-protein	5	NMOD
5	st1	st1	I-NP	NN	I-protein	3	PMOD
6	against	against	B-PP	IN	O	2	NMOD
7	S.	S.	B-NP	NNP	O	8	NMOD
8	Typhimurium	Typhimurium	I-NP	NNP	O	6	PMOD
9	showed	show	B-VP	VBD	O	0	ROOT
10	that	that	B-SBAR	IN	O	9	VMOD
11	Φ	Φ	B-NP	NN	B-protein	12	NMOD
12	st1	st1	I-NP	NN	I-protein	13	SUB
13	has	have	B-VP	VBZ	O	10	SBAR
14	a	a	B-NP	DT	O	16	NMOD
15	latent	latent	I-NP	JJ	O	16	NMOD
16	period	period	I-NP	NN	O	13	OBJ
17	of	of	B-PP	IN	O	16	NMOD
18	40	40	B-NP	CD	O	19	NMOD
19	min	min	I-NP	NN	O	17	PMOD
20	with	with	B-PP	IN	O	19	NMOD
21	an	an	B-NP	DT	O	24	NMOD
22	average	average	I-NP	JJ	O	24	NMOD
23	burst	burst	I-NP	NN	O	24	NMOD
24	size	size	I-NP	NN	O	20	PMOD
25	of	of	B-PP	IN	O	24	NMOD
26	22	22	B-NP	CD	O	27	NMOD
27	particles	particle	I-NP	NNS	O	25	PMOD
28	per	per	B-PP	IN	O	13	VMOD
29	infective	infective	B-NP	JJ	O	30	NMOD
30	centre	centre	I-NP	NN	O	28	PMOD
31	.	.	O	.	O	9	P

1	Approximately	Approximately	B-NP	RB	O	3	NMOD
2	86.1	86.1	I-NP	CD	O	1	AMOD
3	%	%	I-NP	NN	O	0	ROOT
4	of	of	B-PP	IN	O	3	NMOD
5	the	the	B-NP	DT	O	6	NMOD
6	phage	phage	I-NP	NN	O	4	PMOD
7	adsorbed	adsorb	B-VP	VBN	O	6	NMOD
8	to	to	B-PP	TO	O	7	VMOD
9	the	the	B-NP	DT	O	11	NMOD
10	host	host	I-NP	NN	B-cell_type	11	NMOD
11	cells	cell	I-NP	NNS	I-cell_type	8	PMOD
12	within	within	B-PP	IN	O	11	NMOD
13	the	the	B-NP	DT	O	16	NMOD
14	initial	initial	I-NP	JJ	O	16	NMOD
15	5	5	I-NP	CD	O	16	NMOD
16	min	min	I-NP	NN	O	12	PMOD
17	of	of	B-PP	IN	O	16	NMOD
18	infection	infection	B-NP	NN	O	17	PMOD
19	.	.	O	.	O	3	P

1	At	At	B-PP	IN	O	27	NMOD
2	the	the	B-NP	DT	O	4	NMOD
3	optimum	optimum	I-NP	JJ	O	4	NMOD
4	multiplicity	multiplicity	I-NP	NN	O	1	PMOD
5	of	of	B-PP	IN	O	4	NMOD
6	infection	infection	B-NP	NN	O	5	PMOD
7	(	(	O	(	O	9	DEP
8	MOI	MOI	B-NP	NN	O	9	DEP
9	)	)	O	)	O	6	NMOD
10	(	(	O	(	O	12	DEP
11	0.1	0.1	B-NP	CD	O	12	DEP
12	)	)	O	)	O	6	NMOD
13	,	,	O	,	O	27	P
14	the	the	B-NP	DT	O	17	NMOD
15	highest	high	I-NP	JJS	O	17	NMOD
16	reduction	reduction	I-NP	NN	O	17	NMOD
17	rate	rate	I-NP	NN	O	27	NMOD
18	of	of	B-PP	IN	O	17	NMOD
19	S.	S.	B-NP	NNP	O	20	NMOD
20	Typhimurium	Typhimurium	I-NP	NNP	O	18	PMOD
21	(	(	O	(	O	25	DEP
22	6.6	6.6	B-NP	CD	O	24	NMOD
23	log₁₀	log₁₀	I-NP	NN	O	24	NMOD
24	CFU/ml	CFU/ml	I-NP	NN	O	25	DEP
25	)	)	O	)	O	20	NMOD
26	and	and	O	CC	O	27	NMOD
27	increment	increment	B-NP	NN	O	36	SUB
28	in	in	B-PP	IN	O	27	NMOD
29	phage	phage	B-NP	NN	O	30	NMOD
30	titre	titre	I-NP	NN	O	28	PMOD
31	(	(	O	(	O	35	DEP
32	3.8	3.8	B-NP	CD	O	34	NMOD
33	log₁₀	log₁₀	I-NP	NN	O	34	NMOD
34	PFU/ml	PFU/ml	I-NP	NN	O	35	DEP
35	)	)	O	)	O	30	NMOD
36	was	be	B-VP	VBD	O	0	ROOT
37	observed	observe	I-VP	VBN	O	36	VC
38	.	.	O	.	O	36	P

1	Φ	Φ	B-NP	NN	B-protein	2	NMOD
2	st1	st1	I-NP	NN	I-protein	3	SUB
3	produced	produce	B-VP	VBD	O	0	ROOT
4	adsorption	adsorption	B-NP	NN	O	5	NMOD
5	rates	rate	I-NP	NNS	O	3	OBJ
6	of	of	B-PP	IN	O	5	NMOD
7	88.4-92.2	88.4-92.2	B-NP	CD	O	8	NMOD
8	%	%	I-NP	NN	O	6	PMOD
9	at	at	B-PP	IN	O	3	VMOD
10	pH7-9	pH7-9	B-NP	NN	B-protein	9	PMOD
11	and	and	O	CC	O	3	VMOD
12	demonstrated	demonstrate	B-VP	VBD	O	3	VMOD
13	the	the	B-NP	DT	O	16	NMOD
14	highest	high	I-NP	JJS	O	16	NMOD
15	bacteria	bacteria	I-NP	NN	O	16	NMOD
16	reduction	reduction	I-NP	NN	O	12	OBJ
17	(	(	O	(	O	21	DEP
18	6.6	6.6	B-NP	CD	O	20	NMOD
19	log₁₀	log₁₀	I-NP	NN	O	20	NMOD
20	CFU/ml	CFU/ml	I-NP	NN	O	21	DEP
21	)	)	O	)	O	16	NMOD
22	at	at	B-PP	IN	O	16	NMOD
23	pH9	pH9	B-NP	NN	B-protein	22	PMOD
24	.	.	O	.	O	3	P

1	Φ	Φ	B-NP	NN	B-protein	2	NMOD
2	st1	st1	I-NP	NN	I-protein	4	SUB
3	also	also	B-ADVP	RB	O	4	VMOD
