1	Natural	Natural	B-NP	JJ	O	2	NMOD
2	history	history	I-NP	NN	O	21	NMOD
3	of	of	B-PP	IN	O	2	NMOD
4	colonization	colonization	B-NP	NN	O	3	PMOD
5	with	with	B-PP	IN	O	2	NMOD
6	methicillin-resistant	methicillin-resistant	B-NP	JJ	O	8	NMOD
7	Staphylococcus	Staphylococcus	I-NP	FW	O	8	NMOD
8	aureus	aureus	I-NP	FW	O	11	NMOD
9	(	(	O	(	O	11	DEP
10	MRSA	MRSA	B-NP	NN	B-protein	11	DEP
11	)	)	O	)	O	14	NMOD
12	and	and	O	CC	O	14	NMOD
13	vancomycin-resistant	vancomycin-resistant	B-NP	JJ	O	14	NMOD
14	Enterococcus	Enterococcus	I-NP	NN	O	5	PMOD
15	(	(	O	(	O	17	DEP
16	VRE	VRE	B-NP	NN	B-DNA	17	DEP
17	)	)	O	)	O	14	NMOD
18	:	:	O	:	O	2	P
19	a	a	B-NP	DT	O	21	NMOD
20	systematic	systematic	I-NP	JJ	O	21	NMOD
21	review	review	I-NP	NN	O	0	ROOT
22	.	.	O	.	O	21	P

1	No	No	B-NP	DT	O	4	NMOD
2	published	publish	I-NP	VBN	O	4	NMOD
3	systematic	systematic	I-NP	JJ	O	4	NMOD
4	reviews	review	I-NP	NNS	O	5	SUB
5	have	have	B-VP	VBP	O	0	ROOT
6	assessed	assess	I-VP	VBN	O	5	VC
7	the	the	B-NP	DT	O	9	NMOD
8	natural	natural	I-NP	JJ	O	9	NMOD
9	history	history	I-NP	NN	O	6	OBJ
10	of	of	B-PP	IN	O	9	NMOD
11	colonization	colonization	B-NP	NN	O	10	PMOD
12	with	with	B-PP	IN	O	9	NMOD
13	methicillin-resistant	methicillin-resistant	B-NP	JJ	O	15	NMOD
14	Staphylococcus	Staphylococcus	I-NP	FW	O	15	NMOD
15	aureus	aureus	I-NP	FW	O	21	NMOD
16	(	(	O	(	O	18	DEP
17	MRSA	MRSA	B-NP	NN	O	18	DEP
18	)	)	O	)	O	15	NMOD
19	or	or	O	CC	O	21	NMOD
20	vancomycin-resistant	vancomycin-resistant	B-NP	JJ	O	21	NMOD
21	Enterococcus	Enterococcus	I-NP	NN	O	12	PMOD
22	(	(	O	(	O	24	DEP
23	VRE	VRE	B-NP	NN	B-DNA	24	DEP
24	)	)	O	)	O	21	NMOD
25	.	.	O	.	O	5	P

1	Time	Time	B-NP	NN	O	6	SUB
2	to	to	B-PP	TO	O	1	NMOD
3	clearance	clearance	B-NP	NN	O	2	PMOD
4	of	of	B-PP	IN	O	3	NMOD
5	colonization	colonization	B-NP	NN	O	4	PMOD
6	has	have	B-VP	VBZ	O	0	ROOT
7	important	important	B-NP	JJ	O	8	NMOD
8	implications	implication	I-NP	NNS	O	6	OBJ
9	for	for	B-PP	IN	O	8	NMOD
10	patient	patient	B-NP	NN	O	11	NMOD
11	care	care	I-NP	NN	O	15	NMOD
12	and	and	O	CC	O	15	NMOD
13	infection	infection	B-NP	NN	O	15	NMOD
14	control	control	I-NP	NN	O	15	NMOD
15	policy	policy	I-NP	NN	O	9	PMOD
16	.	.	O	.	O	6	P

1	We	We	B-NP	PRP	O	2	SUB
2	performed	perform	B-VP	VBD	O	0	ROOT
3	parallel	parallel	B-NP	JJ	O	4	NMOD
4	searches	search	I-NP	NNS	O	2	OBJ
5	in	in	B-PP	IN	O	2	VMOD
6	OVID	OVID	B-NP	NN	O	7	NMOD
7	Medline	Medline	I-NP	NN	O	5	PMOD
8	for	for	B-PP	IN	O	7	NMOD
9	studies	study	B-NP	NNS	O	8	PMOD
10	that	that	B-NP	WDT	O	9	NMOD
11	reported	report	B-VP	VBD	O	10	SBAR
12	the	the	B-NP	DT	O	13	NMOD
13	time	time	I-NP	NN	O	11	OBJ
14	to	to	B-PP	TO	O	13	NMOD
15	documented	document	B-NP	VBN	O	16	NMOD
16	clearance	clearance	I-NP	NN	O	14	PMOD
17	of	of	B-PP	IN	O	16	NMOD
18	MRSA	MRSA	B-NP	NN	B-protein	21	NMOD
19	and	and	I-NP	CC	O	21	NMOD
20	VRE	VRE	I-NP	NN	O	21	NMOD
21	colonization	colonization	I-NP	NN	O	17	PMOD
22	in	in	B-PP	IN	O	16	NMOD
23	the	the	B-NP	DT	O	24	NMOD
24	absence	absence	I-NP	NN	O	22	PMOD
25	of	of	B-PP	IN	O	24	NMOD
26	treatment	treatment	B-NP	NN	O	25	PMOD
27	,	,	O	,	O	13	P
28	published	publish	B-VP	VBN	O	13	NMOD
29	between	between	B-PP	IN	O	28	VMOD
30	January	January	B-NP	NNP	O	33	NMOD
31	1990	1990	I-NP	CD	O	30	NMOD
32	and	and	O	CC	O	33	NMOD
33	July	July	B-NP	NNP	O	29	PMOD
34	2012	2012	I-NP	CD	O	33	NMOD
35	.	.	O	.	O	2	P

1	For	For	B-PP	IN	O	5	VMOD
2	MRSA	MRSA	B-NP	NN	B-protein	1	PMOD
3	,	,	O	,	O	5	P
4	we	we	B-NP	PRP	O	5	SUB
5	screened	screen	B-VP	VBD	O	0	ROOT
6	982	982	B-NP	CD	O	7	NMOD
7	articles	article	I-NP	NNS	O	5	OBJ
8	,	,	O	,	O	5	P
9	identified	identify	B-VP	VBD	O	5	VMOD
10	16	16	B-NP	CD	O	12	NMOD
11	eligible	eligible	I-NP	JJ	O	12	NMOD
12	studies	study	I-NP	NNS	O	9	OBJ
13	(	(	O	(	O	22	DEP
14	13	13	B-NP	CD	O	16	NMOD
15	observational	observational	I-NP	JJ	O	16	NMOD
16	studies	study	I-NP	NNS	O	21	NMOD
17	and	and	O	CC	O	21	NMOD
18	3	3	B-NP	CD	O	21	NMOD
19	randomized	randomize	I-NP	VBN	O	21	NMOD
20	controlled	control	I-NP	VBN	O	21	NMOD
21	trials	trial	I-NP	NNS	O	22	DEP
22	)	)	O	)	O	12	NMOD
23	,	,	O	,	O	12	P
24	for	for	B-PP	IN	O	9	VMOD
25	a	a	B-NP	DT	O	26	NMOD
26	total	total	I-NP	NN	O	24	PMOD
27	of	of	B-PP	IN	O	26	NMOD
28	1	1	B-NP	CD	O	32	NMOD
29	,	,	O	,	O	32	P
30	804	804	B-NP	CD	O	32	NMOD
31	non-duplicated	non-duplicated	I-NP	JJ	O	32	NMOD
32	subjects	subject	I-NP	NNS	O	27	PMOD
33	.	.	O	.	O	5	P

1	For	For	B-PP	IN	O	5	VMOD
2	VRE	VRE	B-NP	NN	B-DNA	1	PMOD
3	,	,	O	,	O	5	P
4	we	we	B-NP	PRP	O	5	SUB
5	screened	screen	B-VP	VBD	O	0	ROOT
6	284	284	B-NP	CD	O	7	NMOD
7	articles	article	I-NP	NNS	O	5	OBJ
8	,	,	O	,	O	5	P
9	identified	identify	B-VP	VBD	O	5	VMOD
10	13	13	B-NP	CD	O	12	NMOD
11	eligible	eligible	I-NP	JJ	O	12	NMOD
12	studies	study	I-NP	NNS	O	9	OBJ
13	(	(	O	(	O	22	DEP
14	12	12	B-NP	CD	O	16	NMOD
15	observational	observational	I-NP	JJ	O	16	NMOD
16	studies	study	I-NP	NNS	O	18	NMOD
17	and	and	O	CC	O	18	NMOD
18	1	1	B-NP	CD	O	19	SUB
19	randomized	randomize	B-VP	VBD	O	22	DEP
20	controlled	control	B-NP	VBN	O	21	NMOD
21	trial	trial	I-NP	NN	O	19	OBJ
22	)	)	O	)	O	12	NMOD
23	,	,	O	,	O	12	P
24	for	for	B-PP	IN	O	9	VMOD
25	a	a	B-NP	DT	O	26	NMOD
26	total	total	I-NP	NN	O	24	PMOD
27	of	of	B-PP	IN	O	26	NMOD
28	1	1	B-NP	CD	O	32	NMOD
29	,	,	O	,	O	32	P
30	936	936	B-NP	CD	O	32	NMOD
31	non-duplicated	non-duplicated	I-NP	JJ	O	32	NMOD
32	subjects	subject	I-NP	NNS	O	27	PMOD
33	.	.	O	.	O	5	P

1	Studies	Study	B-NP	NNS	O	2	SUB
2	reported	report	B-VP	VBD	O	0	ROOT
3	varying	vary	B-NP	VBG	O	4	NMOD
4	definitions	definition	I-NP	NNS	O	2	OBJ
5	of	of	B-PP	IN	O	4	NMOD
6	clearance	clearance	B-NP	NN	O	5	PMOD
7	of	of	B-PP	IN	O	6	NMOD
8	colonization	colonization	B-NP	NN	O	7	PMOD
9	;	;	O	:	O	2	P
10	no	no	B-NP	DT	O	11	NMOD
11	study	study	I-NP	NN	O	2	VMOD
12	reported	report	B-VP	VBD	O	11	NMOD
13	time	time	B-NP	NN	O	12	OBJ
14	of	of	B-PP	IN	O	13	NMOD
15	initial	initial	B-NP	JJ	O	16	NMOD
16	colonization	colonization	I-NP	NN	O	14	PMOD
17	.	.	O	.	O	2	P

1	Studies	Study	B-NP	NNS	O	2	SUB
2	varied	vary	B-VP	VBD	O	0	ROOT
3	in	in	B-PP	IN	O	2	VMOD
4	the	the	B-NP	DT	O	5	NMOD
5	frequency	frequency	I-NP	NN	O	3	PMOD
6	of	of	B-PP	IN	O	5	NMOD
7	sampling	sampling	B-NP	NN	O	6	PMOD
8	,	,	O	,	O	2	P
9	assays	assay	B-NP	NNS	O	16	NMOD
10	used	use	B-VP	VBN	O	9	NMOD
11	for	for	B-PP	IN	O	10	VMOD
12	sampling	sampling	B-NP	NN	O	11	PMOD
13	,	,	O	,	O	16	P
14	and	and	O	CC	O	16	NMOD
15	follow-up	follow-up	B-NP	JJ	O	16	NMOD
16	period	period	I-NP	NN	O	2	OBJ
17	.	.	O	.	O	2	P

1	The	The	B-NP	DT	O	3	NMOD
2	median	median	I-NP	JJ	O	3	NMOD
3	duration	duration	I-NP	NN	O	7	SUB
4	of	of	B-PP	IN	O	3	NMOD
5	total	total	B-NP	JJ	O	6	NMOD
6	follow-up	follow-up	I-NP	NN	O	4	PMOD
7	was	be	B-VP	VBD	O	0	ROOT
8	38 weeks	38 week	B-NP	NNS	O	7	PRD
9	for	for	B-PP	IN	O	8	NMOD
10	MRSA	MRSA	B-NP	NN	B-protein	12	NMOD
11	and	and	I-NP	CC	O	12	NMOD
12	25 weeks	25 week	I-NP	NNS	O	9	PMOD
13	for	for	B-PP	IN	O	12	NMOD
14	VRE	VRE	B-NP	NN	B-DNA	13	PMOD
15	.	.	O	.	O	7	P

1	Based	Base	B-PP	VBN	O	12	VMOD
2	on	on	B-PP	IN	O	1	PMOD
3	pooled	pooled	B-NP	JJ	O	4	NMOD
4	analyses	analysis	I-NP	NNS	O	2	PMOD
5	,	,	O	,	O	12	P
6	the	the	B-NP	DT	O	9	NMOD
7	model-estimated	model-estimated	I-NP	JJ	O	9	NMOD
8	median	median	I-NP	JJ	O	9	NMOD
