1	Surveillance	Surveillance	B-NP	NN	O	8	NMOD
2	for	for	B-PP	IN	O	1	NMOD
3	upper	upper	B-NP	JJ	O	6	NMOD
4	respiratory	respiratory	I-NP	JJ	O	6	NMOD
5	tract	tract	I-NP	NN	O	6	NMOD
6	disease	disease	I-NP	NN	O	2	PMOD
7	and	and	O	CC	O	8	NMOD
8	Mycoplasma	Mycoplasma	B-NP	NN	O	0	ROOT
9	in	in	B-PP	IN	O	8	NMOD
10	free-ranging	free-ranging	B-NP	JJ	O	12	NMOD
11	gopher	gopher	I-NP	NN	O	12	NMOD
12	tortoises	tortoise	I-NP	NNS	O	9	PMOD
13	(	(	O	(	O	16	DEP
14	Gopherus	Gopherus	B-NP	NNP	O	15	NMOD
15	polyphemus	polyphemus	I-NP	NN	O	16	DEP
16	)	)	O	)	O	8	NMOD
17	in	in	B-PP	IN	O	8	NMOD
18	Georgia	Georgia	B-NP	NNP	O	20	NMOD
19	,	,	O	,	O	20	P
20	USA	USA	B-NP	NNP	O	17	PMOD
21	.	.	O	.	O	8	P

1	Abstract	Abstract	B-NP	NNP	O	5	NMOD
2	Upper	Upper	I-NP	NNP	O	5	NMOD
3	respiratory	respiratory	I-NP	JJ	O	5	NMOD
4	tract	tract	I-NP	NN	O	5	NMOD
5	disease	disease	I-NP	NN	O	17	SUB
6	(	(	O	(	O	8	DEP
7	URTD	URTD	B-NP	NN	O	8	DEP
8	)	)	O	)	O	5	NMOD
9	in	in	B-PP	IN	O	5	NMOD
10	the	the	B-NP	DT	O	12	NMOD
11	gopher	gopher	I-NP	NN	O	12	NMOD
12	tortoise	tortoise	I-NP	NN	O	9	PMOD
13	(	(	O	(	O	16	DEP
14	Gopherus	Gopherus	B-NP	NNP	O	15	NMOD
15	polyphemus	polyphemus	I-NP	NN	O	16	DEP
16	)	)	O	)	O	5	NMOD
17	is	be	B-VP	VBZ	O	0	ROOT
18	highly	highly	B-ADJP	RB	O	19	AMOD
19	contagious	contagious	I-ADJP	JJ	O	17	PRD
20	and	and	O	CC	O	17	VMOD
21	has	have	B-VP	VBZ	O	17	VMOD
22	been	be	I-VP	VBN	O	21	VC
23	implicated	implicate	I-VP	VBN	O	22	VC
24	in	in	B-PP	IN	O	23	VMOD
25	the	the	B-NP	DT	O	26	NMOD
26	reduction	reduction	I-NP	NN	O	24	PMOD
27	of	of	B-PP	IN	O	26	NMOD
28	populations	population	B-NP	NNS	O	27	PMOD
29	throughout	throughout	B-PP	IN	O	26	NMOD
30	the	the	B-NP	DT	O	31	NMOD
31	range	range	I-NP	NN	O	29	PMOD
32	.	.	O	.	O	17	P

1	With	With	B-PP	IN	O	20	VMOD
2	the	the	B-NP	DT	O	3	NMOD
3	exception	exception	I-NP	NN	O	1	PMOD
4	of	of	B-PP	IN	O	3	NMOD
5	a	a	B-NP	DT	O	8	NMOD
6	few	few	I-NP	JJ	O	8	NMOD
7	limited	limited	I-NP	JJ	O	8	NMOD
8	studies	study	I-NP	NNS	O	4	PMOD
9	,	,	O	,	O	20	P
10	the	the	B-NP	DT	O	11	NMOD
11	prevalence	prevalence	I-NP	NN	O	20	SUB
12	of	of	B-PP	IN	O	11	NMOD
13	URTD	URTD	B-NP	NN	B-protein	12	PMOD
14	in	in	B-PP	IN	O	11	NMOD
15	Georgia	Georgia	B-NP	NNP	O	19	NMOD
16	,	,	O	,	O	19	P
17	USA	USA	B-NP	NNP	O	19	NMOD
18	tortoise	tortoise	I-NP	NN	O	19	NMOD
19	populations	population	I-NP	NNS	O	14	PMOD
20	is	be	B-VP	VBZ	O	0	ROOT
21	poorly	poorly	I-VP	RB	O	20	VMOD
22	known	know	I-VP	VBN	O	20	VC
23	.	.	O	.	O	20	P

1	We	We	B-NP	PRP	O	2	SUB
2	found	find	B-VP	VBD	O	0	ROOT
3	that	that	B-SBAR	IN	O	2	VMOD
4	exposure	exposure	B-NP	NN	O	16	SUB
5	to	to	B-PP	TO	O	4	NMOD
6	Mycoplasma	Mycoplasma	B-NP	NN	B-protein	7	NMOD
7	agassizii	agassizii	I-NP	NN	I-protein	10	NMOD
8	and	and	O	CC	O	10	NMOD
9	Mycoplasma	Mycoplasma	B-NP	NN	O	10	NMOD
10	testudineum	testudineum	I-NP	NN	O	5	PMOD
11	,	,	O	,	O	4	P
12	associated	associate	B-VP	VBN	O	4	NMOD
13	with	with	B-PP	IN	O	12	VMOD
14	URTD	URTD	B-NP	NN	O	13	PMOD
15	,	,	O	,	O	4	P
16	varied	vary	B-VP	VBD	O	3	SBAR
17	geographically	geographically	B-ADVP	RB	O	16	VMOD
18	among	among	B-PP	IN	O	16	VMOD
19	11	11	B-NP	CD	O	22	NMOD
20	Georgia	Georgia	I-NP	NNP	O	22	NMOD
21	tortoise	tortoise	I-NP	NN	B-cell_type	22	NMOD
22	populations	population	I-NP	NNS	I-cell_type	18	PMOD
23	.	.	O	.	O	2	P

1	The	The	B-NP	DT	O	2	NMOD
2	prevalence	prevalence	I-NP	NN	O	11	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	antibodies	antibody	B-NP	NNS	B-protein	3	PMOD
5	to	to	B-PP	TO	O	2	NMOD
6	M.	M.	B-NP	NNP	O	7	NMOD
7	agassizii	agassizii	I-NP	NNS	O	5	PMOD
8	in	in	B-PP	IN	O	2	NMOD
9	individual	individual	B-NP	JJ	O	10	NMOD
10	populations	population	I-NP	NNS	O	8	PMOD
11	was	be	B-VP	VBD	O	0	ROOT
