1	Interactions	Interaction	B-NP	NNS	O	0	ROOT
2	of	of	B-PP	IN	O	1	NMOD
3	alkaline	alkaline	B-NP	NN	B-protein	4	NMOD
4	phosphatase	phosphatase	I-NP	NN	I-protein	8	NMOD
5	and	and	O	CC	O	8	NMOD
6	the	the	B-NP	DT	O	8	NMOD
7	cell	cell	I-NP	NN	O	8	NMOD
8	wall	wall	I-NP	NN	O	2	PMOD
9	of	of	B-PP	IN	O	8	NMOD
10	Pseudomonas	Pseudomonas	B-NP	NN	O	11	NMOD
11	aeruginosa	aeruginosa	I-NP	NN	O	9	PMOD
12	.	.	O	.	O	1	P

1	Spheroplasts	Spheroplast	B-NP	NNS	O	25	SUB
2	prepared	prepare	B-VP	VBN	O	1	NMOD
3	by	by	B-PP	IN	O	2	VMOD
4	lysozyme	lysozyme	B-NP	NN	B-protein	5	NMOD
5	treatment	treatment	I-NP	NN	O	3	PMOD
6	of	of	B-PP	IN	O	5	NMOD
7	cells	cell	B-NP	NNS	O	6	PMOD
8	of	of	B-PP	IN	O	7	NMOD
9	Pseudomonas	Pseudomonas	B-NP	NN	O	10	NMOD
10	aeruginosa	aeruginosa	I-NP	NN	O	8	PMOD
11	,	,	O	,	O	1	P
12	suspended	suspend	B-VP	VBN	O	1	NMOD
13	in	in	B-PP	IN	O	12	VMOD
14	20	20	B-NP	CD	O	15	AMOD
15	%	%	I-NP	NN	O	16	NMOD
16	sucrose	sucrose	I-NP	NN	O	20	NMOD
17	or	or	O	CC	O	20	NMOD
18	0.2	0.2	B-NP	CD	O	19	AMOD
19	m	m	I-NP	NN	O	20	NMOD
20	MgCl	MgCl	I-NP	NN	O	13	PMOD
21	(	(	O	(	O	23	DEP
22	2	2	B-NP	CD	O	23	DEP
23	)	)	O	)	O	20	NMOD
24	,	,	O	,	O	1	P
25	were	be	B-VP	VBD	O	0	ROOT
26	examined	examine	I-VP	VBN	O	25	VC
27	in	in	B-PP	IN	O	26	VMOD
28	detail	detail	B-NP	NN	O	27	PMOD
29	.	.	O	.	O	25	P

1	Preparation	Preparation	B-NP	NN	O	14	SUB
2	of	of	B-PP	IN	O	1	NMOD
3	spheroplasts	spheroplast	B-NP	NNS	O	2	PMOD
4	in	in	B-PP	IN	O	1	NMOD
5	the	the	B-NP	DT	O	6	NMOD
6	presence	presence	I-NP	NN	O	4	PMOD
7	of	of	B-PP	IN	O	6	NMOD
8	0.2	0.2	B-NP	CD	O	10	NMOD
9	m	m	I-NP	NN	O	10	NMOD
10	Mg	Mg	I-NP	NN	O	7	PMOD
11	(	(	O	(	O	13	DEP
12	2+	2+	B-NP	NN	O	13	DEP
13	)	)	O	)	O	10	NMOD
14	released	release	B-VP	VBD	O	19	VMOD
15	periplasmic	periplasmic	B-NP	JJ	B-protein	17	NMOD
16	alkaline	alkaline	I-NP	NN	I-protein	17	NMOD
17	phosphatase	phosphatase	I-NP	NN	I-protein	14	OBJ
18	,	,	O	,	O	19	P
19	whereas	whereas	O	IN	O	0	ROOT
20	preparation	preparation	B-NP	NN	O	28	SUB
21	in	in	B-PP	IN	O	20	NMOD
22	the	the	B-NP	DT	O	23	NMOD
23	presence	presence	I-NP	NN	O	21	PMOD
24	of	of	B-PP	IN	O	23	NMOD
25	20	20	B-NP	CD	O	26	AMOD
26	%	%	I-NP	NN	O	27	NMOD
27	sucrose	sucrose	I-NP	NN	O	24	PMOD
28	did	do	B-VP	VBD	O	19	VMOD
29	not	not	O	RB	O	28	VMOD
30	,	,	O	,	O	28	P
31	even	even	B-SBAR	RB	O	32	PMOD
32	though	though	I-SBAR	IN	O	28	VMOD
33	untreated	untreated	B-NP	JJ	B-cell_type	34	NMOD
34	cells	cell	I-NP	NNS	I-cell_type	35	SUB
35	released	release	B-VP	VBD	O	32	SBAR
36	phosphatase	phosphatase	B-NP	NN	B-protein	35	OBJ
37	when	when	B-ADVP	WRB	O	35	VMOD
38	suspended	suspend	B-VP	VBN	O	37	SBAR
39	in	in	B-PP	IN	O	38	VMOD
40	sucrose	sucrose	B-NP	NN	O	39	PMOD
41	in	in	B-PP	IN	O	40	NMOD
42	the	the	B-NP	DT	O	43	NMOD
43	absence	absence	I-NP	NN	O	41	PMOD
44	of	of	B-PP	IN	O	43	NMOD
45	lysozyme	lysozyme	B-NP	NN	B-protein	44	PMOD
46	.	.	O	.	O	19	P

1	Biochemical	Biochemical	B-NP	JJ	O	2	NMOD
2	characterizations	characterization	I-NP	NNS	O	7	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	the	the	B-NP	DT	O	6	NMOD
5	sucrose-lysozyme	sucrose-lysozyme	I-NP	NN	O	6	NMOD
6	preparations	preparation	I-NP	NNS	O	3	PMOD
7	indicated	indicate	B-VP	VBD	O	0	ROOT
8	that	that	B-SBAR	IN	O	7	VMOD
9	lysozyme	lysozyme	B-NP	NN	B-protein	10	SUB
10	mediated	mediate	B-VP	VBD	O	8	SBAR
11	a	a	B-NP	DT	O	12	NMOD
12	reassociation	reassociation	I-NP	NN	O	10	OBJ
13	of	of	B-PP	IN	O	12	NMOD
14	the	the	B-NP	DT	O	16	NMOD
15	released	release	I-NP	VBN	B-protein	16	NMOD
16	phosphatase	phosphatase	I-NP	NN	I-protein	13	PMOD
17	with	with	B-PP	IN	O	12	NMOD
18	the	the	B-NP	DT	O	19	NMOD
19	spheroplasts	spheroplast	I-NP	NNS	O	17	PMOD
20	.	.	O	.	O	7	P

1	In	In	B-PP	IN	O	27	VMOD
2	addition	addition	B-NP	NN	O	1	PMOD
3	,	,	O	,	O	27	P
4	the	the	B-NP	DT	O	5	NMOD
5	enzyme	enzyme	I-NP	NN	B-protein	27	SUB
6	released	release	B-VP	VBN	O	5	NMOD
7	from	from	B-PP	IN	O	6	VMOD
8	whole	whole	B-NP	JJ	B-cell_type	9	NMOD
9	cells	cell	I-NP	NNS	I-cell_type	7	PMOD
10	suspended	suspend	B-VP	VBN	O	9	NMOD
11	in	in	B-PP	IN	O	10	VMOD
12	20	20	B-NP	CD	O	14	NMOD
13	%	%	I-NP	NN	O	14	NMOD
14	sucrose	sucrose	I-NP	NN	O	11	PMOD
15	(	(	O	(	O	14	NMOD
16	which	which	B-NP	WDT	O	14	NMOD
17	represents	represent	B-VP	VBZ	O	16	SBAR
18	20	20	B-NP	CD	O	20	AMOD
19	to	to	I-NP	TO	O	20	AMOD
20	40	40	I-NP	CD	O	21	NMOD
21	%	%	I-NP	NN	O	17	OBJ
22	of	of	B-PP	IN	O	21	NMOD
23	the	the	B-NP	DT	O	25	NMOD
24	cell-bound	cell-bound	I-NP	JJ	B-protein	25	NMOD
25	phosphatase	phosphatase	I-NP	NN	I-protein	22	PMOD
26	)	)	O	)	O	5	NMOD
