1	Amino	Amino	B-NP	NN	O	3	NMOD
2	acid	acid	I-NP	NN	O	3	NMOD
3	requirements	requirement	I-NP	NNS	O	17	NMOD
4	of	of	B-PP	IN	O	3	NMOD
5	strains	strain	B-NP	NNS	O	4	PMOD
6	of	of	B-PP	IN	O	5	NMOD
7	Chlamydia	Chlamydia	B-NP	NN	O	8	NMOD
8	trachomatis	trachomatis	I-NP	NN	O	11	NMOD
9	and	and	I-NP	CC	O	11	NMOD
10	C.	C.	I-NP	NN	O	11	NMOD
11	psittaci	psittaci	I-NP	NNS	O	6	PMOD
12	growing	grow	B-VP	VBG	O	11	NMOD
13	in	in	B-PP	IN	O	12	VMOD
14	McCoy	McCoy	B-NP	NNP	B-cell_line	15	NMOD
15	cells	cell	I-NP	NNS	I-cell_line	13	PMOD
16	:	:	O	:	O	3	P
17	relationship	relationship	B-NP	NN	O	0	ROOT
18	with	with	B-PP	IN	O	17	NMOD
19	clinical	clinical	B-NP	JJ	O	20	NMOD
20	syndrome	syndrome	I-NP	NN	O	23	NMOD
21	and	and	I-NP	CC	O	23	NMOD
22	host	host	I-NP	NN	O	23	NMOD
23	origin	origin	I-NP	NN	O	18	PMOD
24	.	.	O	.	O	17	P

1	The	The	B-NP	DT	O	2	NMOD
2	effects	effect	I-NP	NNS	O	29	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	omission	omission	B-NP	NN	O	3	PMOD
5	of	of	B-PP	IN	O	4	NMOD
6	individual	individual	B-NP	JJ	O	8	NMOD
7	amino	amino	I-NP	JJ	O	8	NMOD
8	acids	acid	I-NP	NNS	O	5	PMOD
9	from	from	B-PP	IN	O	2	NMOD
10	growth	growth	B-NP	NN	O	11	NMOD
11	medium	medium	I-NP	NN	O	9	PMOD
12	on	on	B-PP	IN	O	2	NMOD
13	the	the	B-NP	DT	O	14	NMOD
14	multiplication	multiplication	I-NP	NN	O	24	NMOD
15	of	of	B-PP	IN	O	14	NMOD
16	a	a	B-NP	DT	O	17	NMOD
17	range	range	I-NP	NN	O	15	PMOD
18	of	of	B-PP	IN	O	17	NMOD
19	Chlamydia	Chlamydia	B-NP	NN	O	20	NMOD
20	trachomatis	trachomatis	I-NP	NN	O	18	PMOD
21	and	and	O	CC	O	24	NMOD
22	C.	C.	B-NP	FW	O	23	NMOD
23	psittaci	psittaci	I-NP	FW	O	24	NMOD
24	strains	strain	I-NP	NNS	O	12	PMOD
25	in	in	B-PP	IN	O	24	NMOD
26	cycloheximide-treated	cycloheximide-treated	B-NP	JJ	B-cell_line	28	NMOD
27	McCoy	McCoy	I-NP	NNP	I-cell_line	28	NMOD
28	cells	cell	I-NP	NNS	I-cell_line	25	PMOD
29	have	have	B-VP	VBP	O	0	ROOT
30	been	be	I-VP	VBN	O	29	VC
31	assessed	assess	I-VP	VBN	O	30	VC
32	.	.	O	.	O	29	P

1	Differences	Difference	B-NP	NNS	O	4	SUB
2	in	in	B-PP	IN	O	1	NMOD
3	requirements	requirement	B-NP	NNS	O	2	PMOD
4	were	be	B-VP	VBD	O	0	ROOT
5	revealed	reveal	I-VP	VBN	O	4	VC
6	which	which	B-NP	WDT	O	5	VMOD
7	for	for	B-PP	IN	O	6	NMOD
8	C.	C.	B-NP	NNP	O	10	NMOD
9	trachomatis	trachomatis	I-NP	NNP	O	10	NMOD
10	strains	strain	I-NP	NNS	O	7	PMOD
11	correlated	correlate	B-VP	VBD	O	6	SBAR
12	with	with	B-PP	IN	O	11	VMOD
13	clinical	clinical	B-NP	JJ	O	14	NMOD
14	syndrome	syndrome	I-NP	NN	O	12	PMOD
15	and	and	B-PP	CC	O	12	PMOD
16	for	for	B-PP	IN	O	12	PMOD
17	C.	C.	B-NP	NNP	O	18	NMOD
18	psittaci	psittaci	I-NP	NNS	O	16	PMOD
19	with	with	B-PP	IN	O	18	NMOD
20	host	host	B-NP	NN	O	21	NMOD
21	origin	origin	I-NP	NN	O	19	PMOD
22	.	.	O	.	O	4	P

1	All	All	B-NP	DT	O	3	NMOD
2	11	11	I-NP	CD	O	3	NMOD
3	strains	strain	I-NP	NNS	O	8	SUB
4	of	of	B-PP	IN	O	3	NMOD
5	C.	C.	B-NP	NNP	O	6	NMOD
6	trachomatis	trachomatis	I-NP	NNP	O	4	PMOD
7	examined	examine	B-VP	VBN	O	6	NMOD
8	showed	show	B-VP	VBD	O	20	VMOD
9	a	a	B-NP	DT	O	10	NMOD
10	requirement	requirement	I-NP	NN	O	8	OBJ
11	for	for	B-PP	IN	O	10	NMOD
12	addition	addition	B-NP	NN	O	11	PMOD
13	of	of	B-PP	IN	O	12	NMOD
14	histidine	histidine	B-NP	NN	O	13	PMOD
15	to	to	B-PP	TO	O	12	NMOD
16	the	the	B-NP	DT	O	17	NMOD
17	medium	medium	I-NP	NN	O	15	PMOD
18	;	;	O	:	O	20	P
19	this	this	B-NP	DT	O	20	SUB
20	was	be	B-VP	VBD	O	0	ROOT
21	not	not	I-VP	RB	O	20	VMOD
22	shown	show	I-VP	VBN	O	20	VC
23	by	by	B-PP	IN	O	22	VMOD
24	any	any	B-NP	DT	O	23	PMOD
25	of	of	B-PP	IN	O	24	NMOD
26	four	four	B-NP	CD	O	29	NMOD
27	C.	C.	I-NP	NNP	O	29	NMOD
28	psittaci	psittaci	I-NP	NNS	O	29	NMOD
29	strains	strain	I-NP	NNS	O	25	PMOD
30	.	.	O	.	O	20	P

1	Among	Among	B-PP	IN	O	22	VMOD
2	the	the	B-NP	DT	O	3	NMOD
3	strains	strain	I-NP	NNS	O	1	PMOD
4	of	of	B-PP	IN	O	3	NMOD
5	C.	C.	B-NP	NNP	O	6	NMOD
6	trachomatis	trachomatis	I-NP	NNP	O	4	PMOD
7	,	,	O	,	O	22	P
8	three	three	B-NP	CD	O	22	VMOD
9	from	from	B-PP	IN	O	8	NMOD
10	cases	case	B-NP	NNS	O	9	PMOD
11	of	of	B-PP	IN	O	10	NMOD
12	trachoma	trachoma	B-NP	NN	O	11	PMOD
13	,	,	O	,	O	22	P
14	representing	represent	B-VP	VBG	O	22	VMOD
15	serotypes	serotype	B-NP	NNS	O	20	NMOD
16	A	A	I-NP	NN	O	20	NMOD
17	,	,	O	,	O	20	P
18	B	B	B-NP	NN	B-protein	20	NMOD
19	and	and	O	CC	I-protein	20	NMOD
20	C	C	B-NP	NN	I-protein	14	OBJ
21	,	,	O	,	O	22	P
22	showed	show	B-VP	VBD	O	64	VMOD
23	a	a	B-NP	DT	O	25	NMOD
24	distinctive	distinctive	I-NP	JJ	O	25	NMOD
25	requirement	requirement	I-NP	NN	O	22	OBJ
26	for	for	B-PP	IN	O	25	NMOD
27	the	the	B-NP	DT	O	28	NMOD
28	addition	addition	I-NP	NN	O	26	PMOD
29	of	of	B-PP	IN	O	28	NMOD
30	tryptophan	tryptophan	B-NP	NN	O	29	PMOD
31	to	to	B-PP	TO	O	28	NMOD
32	the	the	B-NP	DT	O	33	NMOD
33	medium	medium	I-NP	NN	O	31	PMOD
34	,	,	O	,	O	22	P
35	whilst	whilst	B-PP	IN	O	22	VMOD
36	six	six	B-NP	CD	O	37	NMOD
37	strains	strain	I-NP	NNS	O	35	PMOD
38	of	of	B-PP	IN	O	37	NMOD
39	oculogenital	oculogenital	B-NP	JJ	O	40	NMOD
40	origin	origin	I-NP	NN	O	38	PMOD
41	,	,	O	,	O	22	P
42	representing	represent	B-VP	VBG	O	22	VMOD
43	serotypes	serotype	B-NP	NNS	O	44	NMOD
44	D-I	D-I	I-NP	NN	O	42	OBJ
45	,	,	O	,	O	22	P
46	exhibited	exhibit	B-VP	VBD	O	22	VMOD
47	no	no	B-NP	DT	O	48	NMOD
48	requirement	requirement	I-NP	NN	O	46	OBJ
49	for	for	B-PP	IN	O	46	VMOD
50	tryptophan	tryptophan	B-NP	NN	O	52	NMOD
51	or	or	I-NP	CC	O	52	NMOD
52	methionine	methionine	I-NP	NN	O	49	PMOD
53	;	;	O	:	O	64	P
54	a	a	B-NP	DT	O	56	NMOD
55	lymphogranuloma	lymphogranuloma	I-NP	NN	O	56	NMOD
56	venereum	venereum	I-NP	NN	O	62	NMOD
57	and	and	O	CC	O	62	NMOD
58	a	a	B-NP	DT	O	62	NMOD
59	'fast	'fast	I-NP	JJ	O	62	NMOD
60	variant	variant	I-NP	NN	O	62	NMOD
61	'	'	B-NP	POS	O	62	NMOD
62	strain	strain	I-NP	NN	O	64	SUB
63	both	both	O	DT	O	64	VMOD
64	showed	show	B-VP	VBD	O	0	ROOT
65	a	a	B-NP	DT	O	66	NMOD
66	requirement	requirement	I-NP	NN	O	64	OBJ
67	for	for	B-PP	IN	O	66	NMOD
68	methionine	methionine	B-NP	NN	O	67	PMOD
69	.	.	O	.	O	64	P

1	Of	Of	B-PP	IN	O	12	VMOD
2	the	the	B-NP	DT	O	6	NMOD
3	four	four	I-NP	CD	O	6	NMOD
4	C.	C.	I-NP	NNP	O	6	NMOD
5	psittaci	psittaci	I-NP	NNS	O	6	NMOD
6	strains	strain	B-NP	NNS	O	1	PMOD
7	from	from	B-PP	IN	O	6	NMOD
8	different	different	B-NP	JJ	O	9	NMOD
9	hosts	host	I-NP	NNS	O	7	PMOD
10	,	,	O	,	O	12	P
11	three	three	B-NP	CD	O	12	SUB
12	showed	show	B-VP	VBD	O	0	ROOT
13	distinct	distinct	B-NP	JJ	O	14	NMOD
14	patterns	pattern	I-NP	NNS	O	12	OBJ
15	of	of	B-PP	IN	O	14	NMOD
16	amino	amino	B-NP	JJ	O	18	NMOD
17	acid	acid	I-NP	NN	O	18	NMOD
18	requirements	requirement	I-NP	NNS	O	15	PMOD
19	.	.	O	.	O	12	P

1	All	All	B-NP	DT	O	2	NMOD
2	chlamydiae	chlamydiae	I-NP	NNS	O	3	SUB
3	required	require	B-VP	VBD	O	0	ROOT
4	the	the	B-NP	DT	O	5	NMOD
5	addition	addition	I-NP	NN	O	3	OBJ
6	of	of	B-PP	IN	O	5	NMOD
7	valine	valine	B-NP	NN	O	6	PMOD
8	to	to	B-PP	TO	O	5	NMOD
9	medium	medium	B-NP	NN	O	8	PMOD
10	and	and	O	CC	O	12	NMOD
11	the	the	B-NP	DT	O	12	NMOD
12	majority	majority	I-NP	NN	O	5	NMOD
13	required	require	B-VP	VBD	O	12	SBAR
14	leucine	leucine	B-NP	NN	O	19	NMOD
15	,	,	O	,	O	19	P
16	phenylalanine	phenylalanine	B-NP	NN	O	19	NMOD
17	and	and	O	CC	O	19	NMOD
18	also	also	B-ADVP	RB	O	19	NMOD
19	glutamine	glutamine	B-NP	NN	O	13	OBJ
20	.	.	O	.	O	3	P

