1	[	[	O	(	O	16	DEP
2	The	The	B-NP	DT	O	3	NMOD
3	effect	effect	I-NP	NN	O	15	NMOD
4	of	of	B-PP	IN	O	3	NMOD
5	omeprazole	omeprazole	B-NP	NN	O	4	PMOD
6	on	on	B-PP	IN	O	3	NMOD
7	healing	healing	B-NP	NN	O	6	PMOD
8	of	of	B-PP	IN	O	7	NMOD
9	duodenal	duodenal	B-NP	JJ	O	10	NMOD
10	ulcers	ulcer	I-NP	NNS	O	8	PMOD
11	,	,	O	,	O	15	P
12	Helicobacter	Helicobacter	B-NP	NN	O	13	NMOD
13	pylori	pylori	I-NP	NN	O	15	NMOD
14	and	and	O	CC	O	15	NMOD
15	gastritis	gastritis	B-NP	NN	O	16	DEP
16	]	]	O	)	O	0	ROOT
17	.	.	O	.	O	16	P

1	Losec	Losec	B-NP	NN	O	6	NMOD
2	(	(	O	(	O	4	DEP
3	omeprazole	omeprazole	B-NP	NN	O	4	DEP
4	)	)	O	)	O	1	NMOD
5	Astra	Astra	B-NP	NNP	O	6	NMOD
6	Co.	Co.	I-NP	NNP	O	7	SUB
7	is	be	B-VP	VBZ	O	0	ROOT
8	a	a	B-NP	DT	O	9	NMOD
9	blocker	blocker	I-NP	NN	O	7	PRD
10	of	of	B-PP	IN	O	9	NMOD
11	the	the	B-NP	DT	O	13	NMOD
12	proton	proton	I-NP	NN	O	13	NMOD
13	pump	pump	I-NP	NN	O	10	PMOD
14	of	of	B-PP	IN	O	13	NMOD
15	the	the	B-NP	DT	O	17	NMOD
16	parietal	parietal	I-NP	JJ	B-cell_type	17	NMOD
17	cell	cell	I-NP	NN	I-cell_type	14	PMOD
18	.	.	O	.	O	7	P

1	It	It	B-NP	PRP	O	2	SUB
2	inhibits	inhibit	B-VP	VBZ	O	0	ROOT
3	basal	basal	B-NP	JJ	O	5	AMOD
4	and	and	I-NP	CC	O	5	AMOD
5	stimulated	stimulate	I-NP	VBN	O	7	NMOD
6	HCl	HCl	I-NP	NN	O	7	NMOD
7	secretion	secretion	I-NP	NN	O	2	OBJ
8	.	.	O	.	O	2	P

1	It	It	B-NP	PRP	O	2	SUB
2	is	be	B-VP	VBZ	O	16	NMOD
3	used	use	I-VP	VBN	O	2	VC
4	for	for	B-PP	IN	O	3	VMOD
5	treatment	treatment	B-NP	NN	O	4	PMOD
6	of	of	B-PP	IN	O	5	NMOD
7	gastroduodenal	gastroduodenal	B-NP	JJ	O	8	NMOD
8	ulcers	ulcer	I-NP	NNS	O	6	PMOD
9	,	,	O	,	O	16	P
10	reflux	reflux	B-NP	NN	O	11	NMOD
11	oesophagitis	oesophagitis	I-NP	NN	O	16	NMOD
