1	Flow	Flow	B-NP	NN	O	3	NMOD
2	cytometric	cytometric	I-NP	JJ	O	3	NMOD
3	measurement	measurement	I-NP	NN	O	0	ROOT
4	of	of	B-PP	IN	O	3	NMOD
5	neutrophil	neutrophil	B-NP	NN	B-protein	7	NMOD
6	alkaline	alkaline	I-NP	NN	I-protein	7	NMOD
7	phosphatase	phosphatase	I-NP	NN	I-protein	4	PMOD
8	before	before	B-PP	IN	O	3	NMOD
9	and	and	I-PP	CC	O	8	PMOD
10	during	during	I-PP	IN	O	8	PMOD
11	initiation	initiation	B-NP	NN	O	10	PMOD
12	of	of	B-PP	IN	O	11	NMOD
13	an	an	B-NP	DT	O	17	NMOD
14	induced	induce	I-NP	VBN	O	17	NMOD
15	Escherichia	Escherichia	I-NP	FW	O	17	NMOD
16	coli	coli	I-NP	FW	O	17	NMOD
17	mastitis	mastitis	I-NP	NN	O	12	PMOD
18	in	in	B-PP	IN	O	11	NMOD
19	cattle	cattle	B-NP	NNS	O	18	PMOD
20	.	.	O	.	O	3	P

1	In	In	B-PP	IN	O	13	VMOD
2	12	12	B-NP	CD	O	4	NMOD
3	healthy	healthy	I-NP	JJ	O	4	NMOD
4	cows	cow	I-NP	NNS	O	1	PMOD
5	,	,	O	,	O	13	P
6	neutrophil	neutrophil	B-NP	NN	B-protein	8	NMOD
7	alkaline	alkaline	I-NP	NN	I-protein	8	NMOD
8	phosphatase	phosphatase	I-NP	NN	I-protein	12	NMOD
9	(	(	O	(	O	11	DEP
10	NAP	NAP	B-NP	NN	B-protein	11	DEP
11	)	)	O	)	O	8	NMOD
12	activity	activity	B-NP	NN	O	13	SUB
13	was	be	B-VP	VBD	O	0	ROOT
14	measured	measure	I-VP	VBN	O	13	VC
15	by	by	B-PP	IN	O	14	VMOD
16	flow	flow	B-NP	NN	O	17	NMOD
17	cytometer	cytometer	I-NP	NN	O	15	PMOD
18	before	before	B-PP	IN	O	14	VMOD
19	and	and	I-PP	CC	O	18	PMOD
20	during	during	I-PP	IN	O	18	PMOD
21	an	an	B-NP	DT	O	26	NMOD
22	experimentally	experimentally	I-NP	RB	O	23	AMOD
23	induced	induce	I-NP	VBN	O	26	NMOD
24	Escherichia	Escherichia	I-NP	FW	O	26	NMOD
25	coli	coli	I-NP	FW	O	26	NMOD
26	mastitis	mastitis	I-NP	NN	O	18	PMOD
27	,	,	O	,	O	14	P
28	to	to	B-VP	TO	O	29	VMOD
29	study	study	I-VP	VB	O	14	VMOD
30	the	the	B-NP	DT	O	31	NMOD
